otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.02625500,0.03226500,0.02119100,0.02707000,24900825728.30000000,1610323199999,682043045.47743640,1470272,12639218649.30000000,346432446.10877040,0
1610323200000,0.02707000,0.02896000,0.01940000,0.02715200,18503861493.00000000,1610927999999,457734270.64271800,1052434,9410483583.00000000,232801088.40400100,0
1610928000000,0.02715700,0.03536800,0.02511100,0.03060600,20939714081.00000000,1611532799999,643375571.24784100,1293746,10557025062.00000000,324461236.09131000,0
1611532800000,0.03065600,0.03244500,0.02460300,0.02539700,12459993803.00000000,1612137599999,350341642.58158400,789964,6181783625.00000000,173995168.94226600,0
1612137600000,0.02536700,0.03309300,0.02436800,0.02913900,15097742846.00000000,1612742399999,434825791.86623400,1066389,7650457103.00000000,220479136.06993800,0
1612742400000,0.02915200,0.06077400,0.02836100,0.05216100,32303656699.80000000,1613347199999,1454434960.65031350,2489594,16328438305.80000000,734972334.14694350,0
1613347200000,0.05224700,0.06000000,0.04240000,0.05482600,20784507025.00000000,1613951999999,1098601946.13465200,1831789,10467610233.00000000,553776572.85229800,0
1613952000000,0.05479000,0.05497500,0.03469100,0.03973500,19054686179.00000000,1614556799999,815740046.94584500,1325705,9607855976.00000000,411442773.06881600,0
1614556800000,0.03973500,0.05998400,0.03942000,0.05667000,14962234550.00000000,1615161599999,760980939.43755000,1368234,7620132613.00000000,387466047.85053000,0
1615161600000,0.05666900,0.07250000,0.05550000,0.06607400,15853576509.00000000,1615766399999,1022219425.88328300,1851038,8063496288.00000000,520180741.48776800,0
1615766400000,0.06617200,0.09520000,0.06563000,0.09380200,19252745197.00000000,1616371199999,1553306787.05674100,2587536,9818132432.00000000,792793438.59279100,0
1616371200000,0.09371100,0.09897800,0.07605100,0.09073300,16663730298.00000000,1616975999999,1465358077.85121600,2300169,8318556497.00000000,731605574.63009900,0
1616976000000,0.09073300,0.09722200,0.08250000,0.09242300,8641476136.00000000,1617580799999,780479633.13561900,1488541,4394501136.00000000,396983887.05782100,0
1617580800000,0.09244800,0.14780000,0.09031400,0.13939400,18459612705.20000000,1618185599999,2213523302.82281470,3639829,9382047087.70000000,1123665551.99711220,0
1618185600000,0.13939400,0.27982900,0.12676400,0.25332100,30737713279.60000000,1618790399999,6018244538.99119200,7895171,15619465696.60000000,3064250517.12224200,0
1618790400000,0.25356800,0.26868000,0.13100000,0.16830000,28517118714.90000000,1619395199999,5909008489.16102370,6857924,14306267752.40000000,2969737056.26455870,0
1619395200000,0.16830000,0.22505000,0.16453000,0.21488000,15945253088.60000000,1619999999999,3171745556.14122240,4416816,7944227556.70000000,1581830571.63560540,0
1620000000000,0.21488000,0.25000000,0.18456000,0.23386000,15196609676.40000000,1620604799999,3292978430.53133400,4879481,7637086637.00000000,1656206857.45511100,0
1620604800000,0.23380000,0.23943000,0.15571000,0.17646000,13533784902.30000000,1621209599999,2554587083.88817000,3971269,6873936514.70000000,1298814729.10716100,0
1621209600000,0.17652000,0.17752000,0.05200000,0.08638000,33507684445.00000000,1621814399999,3896168427.07823400,6097429,16824942670.90000000,1960546971.65341300,0
1621814400000,0.08626000,0.14120000,0.08500000,0.10752000,24218848289.60000000,1622419199999,2739197828.60732900,3978309,12168599034.90000000,1376557696.72816100,0
1622419200000,0.10741000,0.15285000,0.10203000,0.12766000,17037031175.70000000,1623023999999,2189081627.20035200,2966514,8483590919.20000000,1089986805.63527200,0
1623024000000,0.12766000,0.13650000,0.09654000,0.11244000,15793532239.50000000,1623628799999,1773383876.24157400,2297614,7902261068.00000000,886971944.85744800,0
1623628800000,0.11244000,0.11654000,0.08816000,0.09840000,6369476289.20000000,1624233599999,674001095.79475600,995725,3137644529.70000000,331961597.43955000,0
1624233600000,0.09837000,0.09881000,0.05955000,0.07806000,15919121374.80000000,1624838399999,1205423856.69376700,1936110,7885914356.10000000,597257161.69524100,0
1624838400000,0.07805000,0.09504000,0.07568000,0.08778000,8718287933.20000000,1625443199999,750228911.56795900,1278621,4374306339.70000000,376416935.51186000,0
1625443200000,0.08780000,0.08786000,0.07233000,0.07768000,5182622495.20000000,1626047999999,417782796.62064200,759872,2616258245.30000000,210914627.64021500,0
1626048000000,0.07768000,0.07901000,0.06342000,0.06755000,4376191621.50000000,1626652799999,305320809.28475400,577160,2175880410.70000000,151770595.44183400,0
1626652800000,0.06758000,0.07440000,0.05598000,0.07438000,6319995283.50000000,1627257599999,413423761.76803800,834730,3117442481.90000000,204024175.26747900,0
1627257600000,0.07439000,0.09300000,0.07367000,0.08574000,8429641226.20000000,1627862399999,706771758.66799300,1457664,4199646162.10000000,352180925.19645500,0
1627862400000,0.08574000,0.11069000,0.08223000,0.10130000,6502090365.40000000,1628467199999,619939097.98077900,1277905,3202578080.90000000,305610674.80931100,0
1628467200000,0.10125000,0.14198000,0.09700000,0.13937000,8746608751.10000000,1629071999999,1021573728.84555800,2067061,4350465880.70000000,508775905.36021500,0
1629072000000,0.13938000,0.14420000,0.11250000,0.12817000,10264401312.70000000,1629676799999,1310442416.21150700,2102968,5087710478.70000000,649930210.11122600,0
1629676800000,0.12819000,0.13718000,0.11359000,0.12352000,7688317740.40000000,1630281599999,960711826.47903000,1594492,3803136069.90000000,475289969.23198500,0
1630281600000,0.12354000,0.15418000,0.11627000,0.15391000,9788644345.20000000,1630886399999,1339625426.89026800,2559410,4877218862.60000000,668099582.68619600,0
1630886400000,0.15392000,0.15722000,0.09800000,0.11984000,10198386360.50000000,1631491199999,1275049912.06305000,2372068,4998407999.40000000,624854195.50705800,0
1631491200000,0.11991000,0.12343000,0.10660000,0.10824000,4501266458.80000000,1632095999999,518683769.07130600,1026815,2245341303.90000000,258793231.56300200,0
