otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00071500,0.00076700,0.00068600,0.00069500,235891226.00000000,1609545599999,167633.34747200,2231,106774001.00000000,76372.51576900,0
1609545600000,0.00069500,0.00072400,0.00068500,0.00070400,235900332.00000000,1609631999999,165632.75337500,2787,120947479.00000000,85186.01692400,0
1609632000000,0.00070400,0.00082000,0.00070000,0.00079600,849407783.00000000,1609718399999,644274.74492500,8027,459702802.00000000,348191.21244700,0
1609718400000,0.00079600,0.00081100,0.00070800,0.00074700,474852294.00000000,1609804799999,357739.77579900,5838,238853215.00000000,179568.53361600,0
1609804800000,0.00074600,0.00082800,0.00074000,0.00080500,504921551.00000000,1609891199999,396261.65655400,5691,259048056.00000000,204429.45459600,0
1609891200000,0.00080900,0.00087900,0.00078500,0.00081700,570311623.00000000,1609977599999,471127.50121400,6639,306114406.00000000,253629.78693100,0
1609977600000,0.00081700,0.00085900,0.00078700,0.00084900,589036471.00000000,1610063999999,485616.47519300,7671,297878540.00000000,246460.83886000,0
1610064000000,0.00084900,0.00086700,0.00077700,0.00080700,413265783.00000000,1610150399999,332555.34707300,4634,177075893.00000000,143101.57073000,0
1610150400000,0.00080800,0.00099600,0.00080100,0.00088600,1192291808.00000000,1610236799999,1062735.10879700,12109,625541693.00000000,559447.37523600,0
1610236800000,0.00088700,0.00094000,0.00077200,0.00082600,681886413.00000000,1610323199999,590424.41372800,7833,319459848.00000000,277419.45402600,0
1610323200000,0.00082600,0.00082600,0.00069200,0.00081100,579407669.00000000,1610409599999,440763.86262200,5981,236561131.00000000,181419.68569400,0
1610409600000,0.00081100,0.00086700,0.00076300,0.00078500,340645833.00000000,1610495999999,281398.81232700,4388,169413313.00000000,140968.30362400,0
1610496000000,0.00078800,0.00086900,0.00077100,0.00082900,252273104.00000000,1610582399999,206739.07251300,3055,135613835.00000000,111701.62931100,0
1610582400000,0.00082900,0.00085000,0.00079100,0.00082100,306911514.00000000,1610668799999,250611.84070100,3759,153217494.00000000,125442.29975900,0
1610668800000,0.00082100,0.00085800,0.00078800,0.00081100,304268094.00000000,1610755199999,246949.62811500,3112,138754917.00000000,112930.64733400,0
1610755200000,0.00081200,0.00089500,0.00079500,0.00085200,480123683.00000000,1610841599999,406225.63981600,4911,266047912.00000000,225260.87926400,0
1610841600000,0.00086100,0.00089100,0.00080000,0.00085000,380533306.00000000,1610927999999,320201.60773300,4904,185880624.00000000,156653.91394800,0
1610928000000,0.00085700,0.00207100,0.00085100,0.00165100,13838303502.00000000,1611014399999,20407104.95950700,123757,7252056113.00000000,10663818.40976000,0
1611014400000,0.00165500,0.00186900,0.00138200,0.00142000,6195410748.00000000,1611100799999,9893014.20854500,77425,3119568566.00000000,4990389.94496200,0
1611100800000,0.00142000,0.00155900,0.00124000,0.00141500,2857219072.00000000,1611187199999,3934940.96713200,37242,1411778673.00000000,1952318.61501400,0
1611187200000,0.00141200,0.00157000,0.00117000,0.00121800,1559561529.00000000,1611273599999,2170724.33781600,22647,728920283.00000000,1021707.10287400,0
1611273600000,0.00121900,0.00151000,0.00108400,0.00147000,1176322935.00000000,1611359999999,1553997.95844000,15309,578515299.00000000,770891.49074400,0
1611360000000,0.00147400,0.00149500,0.00134800,0.00138400,752541484.00000000,1611446399999,1063695.06310300,11225,390783194.00000000,554693.33735400,0
1611446400000,0.00138300,0.00145900,0.00129800,0.00135500,639434592.00000000,1611532799999,884989.83465500,10298,318280304.00000000,441740.77109200,0
1611532800000,0.00135800,0.00139800,0.00126200,0.00127100,665458330.00000000,1611619199999,887955.84747700,9533,309322062.00000000,414019.34373300,0
1611619200000,0.00127400,0.00138400,0.00125800,0.00130800,412401765.00000000,1611705599999,535924.06913500,6000,198302696.00000000,258543.87114500,0
1611705600000,0.00130700,0.00133300,0.00115000,0.00120400,538481703.00000000,1611791999999,664596.90183900,7713,250341933.00000000,310489.81886900,0
1611792000000,0.00120500,0.00131400,0.00118300,0.00123500,531419063.00000000,1611878399999,666127.20566000,8009,233370140.00000000,292967.04324500,0
1611878400000,0.00123500,0.00190000,0.00118700,0.00151500,3898277009.00000000,1611964799999,6053885.60393300,46357,2069581981.00000000,3232493.49345200,0
1611964800000,0.00151400,0.00185000,0.00137000,0.00142600,3516111159.00000000,1612051199999,5690874.07932700,49498,1728716316.00000000,2818828.99408600,0
1612051200000,0.00141800,0.00152500,0.00129500,0.00132900,1093459327.00000000,1612137599999,1536185.42132200,20263,529823699.00000000,747159.14940700,0
1612137600000,0.00132900,0.00146700,0.00126700,0.00144300,811459100.00000000,1612223999999,1119567.32121100,13666,387608183.00000000,537134.99014600,0
1612224000000,0.00144200,0.00149300,0.00138000,0.00147600,577068494.00000000,1612310399999,836744.44356700,11387,266792341.00000000,387447.92689900,0
1612310400000,0.00146700,0.00156200,0.00144000,0.00154000,787323084.00000000,1612396799999,1185114.25017800,14891,389762447.00000000,586955.67665100,0
1612396800000,0.00154000,0.00158300,0.00143100,0.00144600,633520488.00000000,1612483199999,946522.85061200,12295,254071465.00000000,380420.10669400,0
1612483200000,0.00144200,0.00155900,0.00143000,0.00153700,1006443192.00000000,1612569599999,1497534.90496800,16440,527086763.00000000,786680.42543000,0
1612569600000,0.00153700,0.00155200,0.00147100,0.00148300,628935196.00000000,1612655999999,942822.53238200,12800,305215893.00000000,458160.99148400,0
1612656000000,0.00148800,0.00153600,0.00139000,0.00145300,640657772.00000000,1612742399999,937940.83625000,11514,287406707.00000000,421727.75539000,0
1612742400000,0.00145300,0.00170000,0.00144000,0.00164900,1524780385.00000000,1612828799999,2418678.84197100,24781,806822887.00000000,1280771.89522000,0
1612828800000,0.00164900,0.00320000,0.00162000,0.00282800,11568227992.00000000,1612915199999,28920126.65042800,185999,6086718607.00000000,15209820.37047100,0
1612915200000,0.00282800,0.00372300,0.00240000,0.00263300,6360916989.00000000,1613001599999,19315898.81270900,125345,3299693375.00000000,10085408.25624700,0
1613001600000,0.00264600,0.00319900,0.00252700,0.00298000,2175860796.00000000,1613087999999,6391378.53779800,52546,1095216573.00000000,3218547.53989500,0
1613088000000,0.00298300,0.00595000,0.00291300,0.00486400,6337020238.00000000,1613174399999,26056617.58997400,122327,3444114728.00000000,14198035.61862300,0
1613174400000,0.00484700,0.00896000,0.00448200,0.00715000,20139166031.00000000,1613260799999,137481913.21750500,473070,10489917646.00000000,71723748.14848900,0
1613260800000,0.00714800,0.00760000,0.00532100,0.00668000,4602296490.00000000,1613347199999,29254558.87394900,168513,2341283917.00000000,14962612.09101700,0
1613347200000,0.00668000,0.00749800,0.00551500,0.00678700,3426052599.00000000,1613433599999,23104689.38809000,142582,1746518826.00000000,11812633.53873200,0
1613433600000,0.00680000,0.00694700,0.00586000,0.00625700,1479706060.00000000,1613519999999,9542337.86360700,66360,690686694.00000000,4456478.35504400,0
1613520000000,0.00625700,0.00630000,0.00555300,0.00579200,1233786221.00000000,1613606399999,7316408.06507200,60048,594993554.00000000,3535130.19742800,0
1613606400000,0.00580200,0.00649800,0.00568200,0.00597000,1443780598.00000000,1613692799999,8812828.05358600,77619,724076902.00000000,4427423.70634100,0
1613692800000,0.00596300,0.00612900,0.00524100,0.00552700,1594737732.00000000,1613779199999,9134257.62522000,78431,750115475.00000000,4310061.96399700,0
1613779200000,0.00552600,0.00730000,0.00508000,0.00627400,3351881101.00000000,1613865599999,21313061.48393600,141561,1753327620.00000000,11194217.37396500,0
1613865600000,0.00627300,0.00730000,0.00585000,0.00667200,2727940520.00000000,1613951999999,18164357.51720300,143002,1329003386.00000000,8876907.69328700,0
1613952000000,0.00667400,0.00679300,0.00501100,0.00589400,1644187577.00000000,1614038399999,9788852.04133500,80620,792525956.00000000,4715011.01009700,0
1614038400000,0.00589400,0.00597100,0.00372000,0.00498900,1811536138.00000000,1614124799999,8641239.17707900,67485,887872213.00000000,4216651.64722600,0
1614124800000,0.00498900,0.00559800,0.00462700,0.00495100,1174300633.00000000,1614211199999,5961574.17725500,53100,588739754.00000000,2991975.80789700,0
1614211200000,0.00496900,0.00516600,0.00447700,0.00455200,858365127.00000000,1614297599999,4221316.72090000,30994,400238478.00000000,1973037.88555900,0
1614297600000,0.00455300,0.00486400,0.00413200,0.00450900,741014534.00000000,1614383999999,3331775.20728300,28748,360442665.00000000,1622155.14883900,0
1614384000000,0.00450900,0.00478000,0.00435000,0.00446500,602632765.00000000,1614470399999,2747103.17572600,23657,291246721.00000000,1329332.96972600,0
1614470400000,0.00446300,0.00446300,0.00380000,0.00411800,791722304.00000000,1614556799999,3298990.67405000,27979,400925780.00000000,1674909.54475300,0
1614556800000,0.00414300,0.00481900,0.00412300,0.00478700,666270641.00000000,1614643199999,3019221.06128300,28835,342824043.00000000,1555097.42374200,0
1614643200000,0.00478700,0.00489500,0.00434200,0.00450100,455607522.00000000,1614729599999,2104652.82431300,21252,215088227.00000000,995040.59676600,0
1614729600000,0.00450000,0.00727800,0.00444400,0.00607300,2969721358.00000000,1614815999999,17784424.55161600,91009,1533444125.00000000,9190568.54925100,0
1614816000000,0.00606600,0.00645500,0.00500000,0.00547100,2984933587.00000000,1614902399999,17153089.45069200,107125,1453052668.00000000,8369628.27892400,0
1614902400000,0.00546700,0.00585000,0.00500000,0.00548800,1071066858.00000000,1614988799999,5751990.28962500,41814,536503565.00000000,2889185.58716200,0
1614988800000,0.00550400,0.00594100,0.00521000,0.00544500,602828977.00000000,1615075199999,3344611.14072600,27508,314804604.00000000,1750789.69269400,0
1615075200000,0.00543300,0.00629900,0.00543300,0.00597700,1251110600.00000000,1615161599999,7398194.19419000,53519,645671690.00000000,3818012.31770000,0
1615161600000,0.00597700,0.00654400,0.00568500,0.00642900,1180156792.00000000,1615247999999,7151457.80551600,49140,601782082.00000000,3655830.69853700,0
1615248000000,0.00644400,0.00659000,0.00605200,0.00624700,992061116.00000000,1615334399999,6251201.89029800,46210,473396200.00000000,2985567.89940500,0
1615334400000,0.00624300,0.00636700,0.00574700,0.00589800,1050022426.00000000,1615420799999,6360121.01073300,39687,481909643.00000000,2921383.77927100,0
1615420800000,0.00589500,0.00640700,0.00559700,0.00610500,935273494.00000000,1615507199999,5587931.07408400,41226,454970359.00000000,2721737.56745900,0
1615507200000,0.00612600,0.00643000,0.00576000,0.00591400,821518363.00000000,1615593599999,5010673.42896100,41450,396936321.00000000,2423521.11688300,0
1615593600000,0.00593400,0.00733000,0.00575700,0.00715300,2077268640.00000000,1615679999999,13678079.87694900,98931,1100431954.00000000,7272156.91998300,0
1615680000000,0.00715800,0.00870000,0.00653200,0.00810100,4419444490.00000000,1615766399999,34105750.65674400,183081,2249212398.00000000,17364736.87909300,0
1615766400000,0.00808900,0.01360000,0.00794400,0.01131500,10784346812.00000000,1615852799999,117260896.82139400,489668,5733218217.00000000,62519515.48082200,0
1615852800000,0.01132300,0.01290000,0.00971900,0.01008000,5207293532.00000000,1615939199999,58798490.76204700,249900,2573146106.00000000,29148252.38423400,0
1615939200000,0.01007800,0.01139000,0.00972800,0.01094400,1942431093.00000000,1616025599999,20332563.00702100,105560,988414025.00000000,10353699.14948900,0
1616025600000,0.01094400,0.01189000,0.01023400,0.01057800,1685114785.00000000,1616111999999,18600625.72135600,102343,846478273.00000000,9356899.51940000,0
1616112000000,0.01057900,0.01320000,0.01025100,0.01248700,2311047294.00000000,1616198399999,26882510.66510100,127342,1199252513.00000000,13986300.25644800,0
1616198400000,0.01248000,0.02440900,0.01240800,0.01830200,14314233839.00000000,1616284799999,264471325.69836300,695406,7330801331.00000000,135786434.28320500,0
1616284800000,0.01831600,0.02385600,0.01752900,0.02007200,8415903963.00000000,1616371199999,174111427.14349100,490186,4259544929.00000000,88169172.28335600,0
1616371200000,0.02007200,0.02229000,0.01680500,0.01860800,3445320585.00000000,1616457599999,68301758.69107800,231195,1706736605.00000000,33880057.01230600,0
1616457600000,0.01859800,0.01913400,0.01558900,0.01712000,2781044793.00000000,1616543999999,48130396.39217400,163225,1414784574.00000000,24528588.14524700,0
1616544000000,0.01710800,0.02100000,0.01625000,0.01766900,3020095395.00000000,1616630399999,56447956.10330200,200175,1547549013.00000000,28983895.68300900,0
1616630400000,0.01764200,0.01929200,0.01610000,0.01669400,1856178586.00000000,1616716799999,32027116.85044700,127719,932454482.00000000,16097544.40970500,0
1616716800000,0.01669300,0.02000000,0.01619900,0.01971200,1696577802.00000000,1616803199999,30876437.84415700,124775,886122355.00000000,16190550.31740300,0
1616803200000,0.01971200,0.01992200,0.01802800,0.01806500,1488748040.00000000,1616889599999,28385388.57340300,106445,710091741.00000000,13554556.23415900,0
1616889600000,0.01810300,0.01885000,0.01750000,0.01847600,933284985.00000000,1616975999999,17020086.85524800,73539,466952781.00000000,8524784.46368000,0
1616976000000,0.01849300,0.01960000,0.01775800,0.01870400,1153496506.00000000,1617062399999,21607554.29988900,89049,594020304.00000000,11143504.58315200,0
1617062400000,0.01870500,0.01879200,0.01671400,0.01737600,1646225096.00000000,1617148799999,29181194.51186000,116745,800267646.00000000,14186344.37167000,0
1617148800000,0.01737600,0.01786400,0.01547200,0.01595900,2606051137.00000000,1617235199999,42593185.70617600,151632,1306402432.00000000,21344543.32181100,0
1617235200000,0.01591900,0.01657200,0.01357000,0.01402300,3705061456.00000000,1617321599999,54759767.92030900,180994,1787093750.00000000,26439922.54886600,0
1617321600000,0.01402300,0.01754000,0.01331900,0.01690100,4050448972.00000000,1617407999999,63361690.40513600,210114,2083526666.00000000,32646346.07796300,0
1617408000000,0.01690000,0.01698800,0.01450000,0.01468500,2301490390.00000000,1617494399999,35725085.29842100,135553,1091754598.00000000,16953556.36635300,0
1617494400000,0.01467000,0.01592800,0.01439000,0.01535500,1758070214.00000000,1617580799999,26731051.71387000,103990,885236138.00000000,13474966.41000400,0
1617580800000,0.01532000,0.01902500,0.01480000,0.01616400,4103855488.00000000,1617667199999,69234387.03805600,214587,2083595877.00000000,35245317.77059400,0
1617667200000,0.01616100,0.01800000,0.01522000,0.01587900,2713850267.00000000,1617753599999,45025743.96212300,158283,1338036776.00000000,22224512.67708600,0
1617753600000,0.01587200,0.01674900,0.01406500,0.01489100,2106774243.00000000,1617839999999,32283254.22666500,125321,1037021368.00000000,15909900.42956300,0
1617840000000,0.01489300,0.01637600,0.01466100,0.01561800,1335113214.00000000,1617926399999,21014711.49312800,85751,683825865.00000000,10769757.18322700,0
1617926400000,0.01558000,0.01715000,0.01535700,0.01616400,1832926600.00000000,1618012799999,29673901.81263100,98329,915081800.00000000,14829168.76879600,0
1618012800000,0.01617300,0.01894000,0.01593400,0.01701400,3222969505.00000000,1618099199999,55782407.29047700,186215,1673031850.00000000,28999715.90846400,0
1618099200000,0.01705000,0.01729000,0.01576400,0.01660800,1789149717.00000000,1618185599999,29264078.81721300,108782,863767663.00000000,14139788.14295800,0
1618185600000,0.01659700,0.01665100,0.01489200,0.01519900,1377745860.00000000,1618271999999,21531933.18669400,83931,633357189.00000000,9902991.00464600,0
1618272000000,0.01518800,0.01657700,0.01480400,0.01589500,1496499781.00000000,1618358399999,23331645.09634700,94107,761974368.00000000,11893678.19737100,0
1618358400000,0.01591800,0.01877700,0.01530900,0.01700000,2849962428.00000000,1618444799999,47350889.89229600,169099,1446168451.00000000,24092966.66265900,0
1618444800000,0.01701000,0.02419200,0.01684400,0.02148300,9566956693.00000000,1618531199999,204690664.16778800,585369,4997094038.00000000,106844520.40544300,0
1618531200000,0.02147900,0.02740000,0.01775400,0.02438300,6942523789.00000000,1618617599999,153474860.38049700,480707,3506917665.00000000,78044839.30660900,0
1618617600000,0.02444300,0.02850000,0.02183400,0.02294400,4993457733.00000000,1618703999999,123281751.11432700,375133,2501845843.00000000,61888116.87236200,0
1618704000000,0.02295600,0.02390600,0.01700000,0.02269300,3354305825.00000000,1618790399999,70376486.92479600,221998,1641631112.00000000,34500606.02229000,0
1618790400000,0.02269200,0.02522500,0.01986900,0.01997800,2828606768.00000000,1618876799999,63179351.86763700,197879,1408596848.00000000,31474037.02149400,0
1618876800000,0.01993600,0.02256400,0.01850000,0.02151600,2133713573.00000000,1618963199999,44010653.51941500,169263,1089458703.00000000,22487160.89833900,0
1618963200000,0.02158900,0.02182900,0.01911300,0.01972900,1443782616.00000000,1619049599999,29774511.08628500,94965,674350241.00000000,13917867.36263600,0
1619049600000,0.01974300,0.02025100,0.01550000,0.01663800,1732265380.00000000,1619135999999,32097641.42515400,105641,838360480.00000000,15576655.71206600,0
1619136000000,0.01665500,0.01780000,0.01151400,0.01741000,2867876406.00000000,1619222399999,43664726.61552300,149085,1418930082.00000000,21649225.31264900,0
1619222400000,0.01741000,0.01749300,0.01503700,0.01533800,1310779074.00000000,1619308799999,21270048.98033800,72904,648706221.00000000,10536581.94862400,0
1619308800000,0.01535700,0.01670000,0.01337900,0.01457300,1244074734.00000000,1619395199999,18967639.58594300,69974,625115802.00000000,9548493.17087300,0
1619395200000,0.01457300,0.01836600,0.01435700,0.01741500,1690539416.00000000,1619481599999,28972964.80991100,106764,888506934.00000000,15227592.73031600,0
1619481600000,0.01742300,0.02152200,0.01702700,0.01957600,1828346408.00000000,1619567999999,35761392.61988600,136264,926922606.00000000,18153514.95941400,0
1619568000000,0.01957600,0.02070600,0.01739200,0.01850300,1371452856.00000000,1619654399999,25832087.77845700,107413,678175461.00000000,12796661.85213600,0
1619654400000,0.01850300,0.01912200,0.01722000,0.01792100,906544285.00000000,1619740799999,16432805.37326000,62473,444177814.00000000,8056945.99858300,0
1619740800000,0.01792500,0.01879600,0.01750000,0.01835300,920698020.00000000,1619827199999,16756262.56625400,65971,465050758.00000000,8471348.02127400,0
1619827200000,0.01833000,0.01849900,0.01769600,0.01796600,707441975.00000000,1619913599999,12764494.38574400,49524,348089611.00000000,6282665.61557800,0
1619913600000,0.01796600,0.01990900,0.01783800,0.01905000,1492626730.00000000,1619999999999,27807738.09208300,99586,769474157.00000000,14345818.81400900,0
1620000000000,0.01907900,0.01954700,0.01790700,0.01840100,1114948944.00000000,1620086399999,20757065.20667700,78771,548901266.00000000,10223627.78359600,0
1620086400000,0.01840000,0.01845100,0.01614500,0.01637300,1217002317.00000000,1620172799999,20774826.86530700,80805,599956900.00000000,10244359.28544400,0
1620172800000,0.01637300,0.01873600,0.01614300,0.01757000,1077472979.00000000,1620259199999,18748518.05927400,73854,544479658.00000000,9485310.31985100,0
1620259200000,0.01758000,0.01828200,0.01630000,0.01730700,1022461956.00000000,1620345599999,17842721.36031200,66537,513713257.00000000,8982325.55263500,0
1620345600000,0.01730700,0.01948500,0.01722800,0.01837600,1856664799.00000000,1620431999999,34171356.89230400,119050,934407703.00000000,17196571.33864600,0
1620432000000,0.01835200,0.01837500,0.01720000,0.01734500,701120053.00000000,1620518399999,12454086.19078800,46037,338478085.00000000,6012828.25475100,0
1620518400000,0.01733900,0.01779900,0.01673700,0.01716600,770893328.00000000,1620604799999,13215126.79613800,49269,376149803.00000000,6450029.17986900,0
1620604800000,0.01717700,0.01777700,0.01459800,0.01562400,1275759233.00000000,1620691199999,21188333.78380500,77269,617812105.00000000,10281315.73422600,0
1620691200000,0.01560100,0.01625000,0.01500000,0.01585700,821201777.00000000,1620777599999,12796740.26040000,51021,397891015.00000000,6202862.83004500,0
1620777600000,0.01586800,0.01669500,0.01282100,0.01305100,1012941924.00000000,1620863999999,15391680.46926500,60818,494703112.00000000,7544402.32049900,0
1620864000000,0.01298500,0.01442600,0.01200000,0.01292000,2090083832.00000000,1620950399999,27518460.52139300,88577,1037462740.00000000,13660625.22032200,0
1620950400000,0.01292000,0.01531100,0.01288000,0.01434100,1062477970.00000000,1621036799999,14844607.23763200,61934,544406387.00000000,7612277.40041600,0
1621036800000,0.01433900,0.01439300,0.01260000,0.01304500,976392918.00000000,1621123199999,13186056.76154000,48857,480996360.00000000,6499389.82614700,0
1621123200000,0.01304400,0.01449900,0.01243800,0.01319600,1300516994.00000000,1621209599999,17391789.96172200,54602,654624696.00000000,8764729.92117400,0
1621209600000,0.01320300,0.01328900,0.01156100,0.01187700,1374580067.00000000,1621295999999,16913394.84291100,54294,665963110.00000000,8194300.24263300,0
1621296000000,0.01190400,0.01288000,0.01171700,0.01242400,868653112.00000000,1621382399999,10731334.30222200,37460,435325645.00000000,5380709.42039200,0
1621382400000,0.01240800,0.01257300,0.00550000,0.00844400,3565366308.00000000,1621468799999,34294679.85038300,96769,1731497867.00000000,16591640.24485200,0
1621468800000,0.00844600,0.01391100,0.00750300,0.01225100,4774657341.00000000,1621555199999,50874884.42415900,166637,2374275501.00000000,25313574.08921600,0
1621555200000,0.01224000,0.01450000,0.00867700,0.01071600,3992214054.00000000,1621641599999,46432326.36716300,153321,1971847457.00000000,22938333.05039800,0
1621641600000,0.01069100,0.01097000,0.00923300,0.00926500,2026260168.00000000,1621727999999,20298215.15977000,78245,971498372.00000000,9731607.19160400,0
1621728000000,0.00927900,0.01051900,0.00662800,0.00787500,3691629836.00000000,1621814399999,29321143.27201100,101272,1827986334.00000000,14543743.60418100,0
1621814400000,0.00789500,0.01047000,0.00773000,0.00942200,3016793487.00000000,1621900799999,27791353.78901000,116412,1502449093.00000000,13857914.69194900,0
1621900800000,0.00942200,0.01037000,0.00862800,0.00917200,2302687849.00000000,1621987199999,21269314.73126300,84524,1134746402.00000000,10488346.71411300,0
