otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.31130000,0.33980000,0.30700000,0.31580000,1947871.77000000,1609545599999,629590.62080800,6781,762119.89000000,246883.50920900,0
1609545600000,0.31530000,0.32910000,0.29750000,0.30270000,2668611.35000000,1609631999999,821796.79210400,8901,1171912.71000000,361607.31362900,0
1609632000000,0.30270000,0.31440000,0.29500000,0.30800000,2444561.36000000,1609718399999,744671.03585200,8481,1127200.55000000,343637.66439900,0
1609718400000,0.30830000,0.33990000,0.29080000,0.30770000,3369863.80000000,1609804799999,1043694.71807400,10406,1733939.97000000,538243.66627400,0
1609804800000,0.30860000,0.33300000,0.29470000,0.31730000,3467977.06000000,1609891199999,1096006.16136400,10527,1768892.57000000,559141.03037200,0
1609891200000,0.31710000,0.35130000,0.30670000,0.33330000,4532848.45000000,1609977599999,1490706.50217300,13445,2229905.70000000,735544.74663700,0
1609977600000,0.33380000,0.39300000,0.32680000,0.36370000,6250857.40000000,1610063999999,2250264.02206600,17008,2988592.82000000,1081125.80704700,0
1610064000000,0.36320000,0.37350000,0.32530000,0.34360000,3261418.73000000,1610150399999,1133375.22535500,11011,1424390.40000000,496140.57684300,0
1610150400000,0.34360000,0.43500000,0.33400000,0.38650000,7583103.86000000,1610236799999,2985156.14650000,22122,3973345.91000000,1569033.88045800,0
1610236800000,0.38760000,0.42730000,0.33770000,0.38900000,5779061.72000000,1610323199999,2233229.93579400,16812,2487745.60000000,963946.22031100,0
1610323200000,0.39090000,0.39100000,0.30000000,0.34230000,3448233.51000000,1610409599999,1173872.52500800,12637,1597353.86000000,544522.57213100,0
1610409600000,0.34120000,0.35400000,0.31200000,0.32000000,3029004.86000000,1610495999999,1015455.76763000,10044,1368628.38000000,461269.45646900,0
1610496000000,0.31870000,0.34830000,0.31000000,0.33400000,1857382.17000000,1610582399999,612716.92833200,7514,963023.38000000,318039.45545700,0
1610582400000,0.33400000,0.35310000,0.32780000,0.34120000,1707321.07000000,1610668799999,583187.82488100,7258,829332.21000000,283846.24128600,0
1610668800000,0.34110000,0.35470000,0.32540000,0.34460000,2778719.69000000,1610755199999,953172.04869300,10300,1251519.71000000,429347.82559900,0
1610755200000,0.34460000,0.38470000,0.34280000,0.35210000,3811042.64000000,1610841599999,1383815.61126400,13080,1570488.42000000,572313.76538200,0
1610841600000,0.35220000,0.40650000,0.33500000,0.38910000,4443529.34000000,1610927999999,1671742.80020600,14295,2324045.29000000,879864.09691900,0
1610928000000,0.38930000,0.40500000,0.36250000,0.40060000,3084376.61000000,1611014399999,1195322.12539800,10973,1501838.16000000,583821.96440700,0
1611014400000,0.40140000,0.45390000,0.38060000,0.41500000,5964580.86000000,1611100799999,2481964.45093400,17681,3278451.18000000,1371371.87395100,0
1611100800000,0.41500000,0.48200000,0.38650000,0.42620000,14367338.42000000,1611187199999,6363109.31536600,33369,7359283.95000000,3275505.06543300,0
1611187200000,0.42650000,0.43140000,0.36830000,0.38950000,28396973.90000000,1611273599999,11713132.07731500,40468,16693322.30000000,6916282.09199700,0
1611273600000,0.38950000,0.40400000,0.34300000,0.39040000,2749030.26000000,1611359999999,1056621.38877900,10570,1277239.08000000,492316.60106800,0
1611360000000,0.39060000,0.39990000,0.37440000,0.38510000,2245624.08000000,1611446399999,866788.34002700,8947,1103167.17000000,426703.43064600,0
1611446400000,0.38520000,0.41130000,0.38000000,0.39960000,2243130.84000000,1611532799999,888785.39354600,8986,1023785.95000000,406379.79967100,0
1611532800000,0.39990000,0.43790000,0.39830000,0.42750000,3609971.97000000,1611619199999,1517038.87634700,13661,1824594.27000000,768629.04183000,0
1611619200000,0.42830000,0.43870000,0.37600000,0.40580000,2910371.36000000,1611705599999,1176268.72557900,11477,1359855.87000000,549073.73804000,0
1611705600000,0.40610000,0.40760000,0.36580000,0.38510000,2511280.54000000,1611791999999,966036.27683300,9300,1020060.81000000,392721.60840700,0
1611792000000,0.38450000,0.39680000,0.37030000,0.38100000,2227374.42000000,1611878399999,863265.33666900,8292,1092858.04000000,424339.24226600,0
1611878400000,0.37950000,0.39880000,0.36660000,0.38000000,3111898.47000000,1611964799999,1184622.80758800,12605,1504524.97000000,573078.21146400,0
