otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,6.19390000,6.36170000,5.88250000,5.97950000,2057953.80000000,1609545599999,12565817.48173600,42068,1107879.90000000,6761792.21429900,0
1609545600000,5.97950000,5.98020000,5.44360000,5.58730000,2805520.85000000,1609631999999,15876547.81726700,53056,1494210.22000000,8451131.64684900,0
1609632000000,5.58290000,6.07390000,5.07920000,5.55810000,4334320.66000000,1609718399999,23704618.84781000,82970,2305767.53000000,12603142.71109700,0
1609718400000,5.55810000,6.15000000,4.86000000,5.39430000,3110352.59000000,1609804799999,17205701.19392300,69202,1597950.77000000,8845234.49483300,0
1609804800000,5.39190000,5.84160000,5.16320000,5.57680000,2797294.25000000,1609891199999,15339069.59557800,56762,1466049.19000000,8039585.93567700,0
1609891200000,5.57260000,6.13500000,5.35230000,5.84000000,3182507.29000000,1609977599999,18423563.85002100,64968,1641155.46000000,9502940.76106100,0
1609977600000,5.84810000,6.57780000,5.50000000,5.93770000,4017826.93000000,1610063999999,24613002.82583300,83230,2026201.84000000,12426596.08947900,0
1610064000000,5.93140000,5.98590000,5.17210000,5.61080000,2656961.92000000,1610150399999,14840263.59286600,58758,1379992.71000000,7709227.95304700,0
1610150400000,5.61490000,6.27000000,5.41370000,6.18180000,2162083.17000000,1610236799999,12530595.82226400,45625,1177637.18000000,6829290.28427700,0
1610236800000,6.18160000,6.98000000,5.86990000,6.52730000,5124687.83000000,1610323199999,32904166.47086100,106356,2560776.79000000,16447782.02963000,0
1610323200000,6.52800000,6.54470000,4.96670000,5.61840000,3973971.93000000,1610409599999,22375143.43904600,90370,2044348.57000000,11501503.04762700,0
1610409600000,5.60930000,6.60160000,5.40790000,6.02300000,4415896.00000000,1610495999999,26861101.45474300,83930,2549096.93000000,15546246.39767700,0
1610496000000,6.01890000,6.52170000,5.78590000,6.38120000,2161759.52000000,1610582399999,13454654.55544100,52617,1134754.71000000,7060381.16828400,0
1610582400000,6.38280000,6.89800000,5.80000000,6.44390000,3233900.70000000,1610668799999,20589008.14941900,74028,1612475.07000000,10269602.93629000,0
1610668800000,6.44380000,6.89770000,5.85000000,6.35390000,3876814.50000000,1610755199999,24902071.67181200,80973,2021896.12000000,12990985.02059900,0
1610755200000,6.37040000,6.94790000,6.20600000,6.63160000,3044807.26000000,1610841599999,20193108.54927400,66020,1517729.80000000,10071609.60532900,0
1610841600000,6.63160000,8.19000000,6.27400000,7.37680000,6267179.05000000,1610927999999,45994112.37025300,126784,3185510.87000000,23439968.66256800,0
1610928000000,7.37800000,8.30390000,7.30020000,7.83840000,3972627.18000000,1611014399999,30840085.03100800,93077,2010360.17000000,15612763.39411700,0
1611014400000,7.83770000,7.93040000,7.07000000,7.07730000,2321561.63000000,1611100799999,17473638.74919000,60390,1175629.81000000,8843443.50050400,0
1611100800000,7.07480000,7.30000000,6.47180000,7.20940000,2060258.55000000,1611187199999,14258028.19119800,51676,992152.89000000,6877047.23828600,0
1611187200000,7.21470000,7.24280000,5.90000000,5.98850000,2031299.13000000,1611273599999,13351999.09493700,49999,961473.62000000,6329167.67350900,0
1611273600000,5.97610000,6.64000000,5.45060000,6.40280000,1804100.88000000,1611359999999,11000675.61466500,43814,890066.19000000,5426173.92548500,0
1611360000000,6.39200000,6.88800000,6.31850000,6.59230000,1649390.61000000,1611446399999,10847564.06146400,36021,845201.87000000,5562134.82907200,0
1611446400000,6.58870000,7.44890000,6.52210000,6.98330000,3146784.18000000,1611532799999,22055344.89851500,70482,1541125.95000000,10803815.20129400,0
1611532800000,6.99280000,7.32340000,6.65200000,6.67230000,1867470.35000000,1611619199999,13185791.31268100,42084,920723.88000000,6502784.11429500,0
1611619200000,6.67220000,6.91920000,6.41100000,6.82880000,1181531.54000000,1611705599999,7907909.75231400,27866,535397.58000000,3584686.78257600,0
1611705600000,6.82880000,6.84510000,5.95010000,6.03710000,1129406.32000000,1611791999999,7082074.90799900,29008,527673.94000000,3309731.15782900,0
1611792000000,6.02690000,6.54000000,5.93350000,6.28360000,1057445.51000000,1611878399999,6700951.82658600,28340,519696.63000000,3292230.96941800,0
1611878400000,6.28750000,6.79800000,6.15650000,6.51430000,1619427.14000000,1611964799999,10480922.38328600,45576,833430.67000000,5396178.52777200,0
1611964800000,6.50110000,6.98620000,6.23000000,6.74000000,1554499.62000000,1612051199999,10211495.54380400,41497,781304.11000000,5138662.33420900,0
1612051200000,6.74280000,7.06490000,6.43270000,6.54380000,1613816.95000000,1612137599999,10834554.66812500,44689,835411.24000000,5612187.08372000,0
1612137600000,6.54380000,7.23100000,6.39000000,7.01870000,2324066.45000000,1612223999999,15888742.48873100,64405,1293114.95000000,8854423.34976100,0
1612224000000,7.01160000,7.15380000,6.84060000,6.94790000,912107.80000000,1612310399999,6364712.95998100,27025,435418.93000000,3038788.64264700,0
1612310400000,6.94020000,7.57160000,6.87690000,7.29730000,1871331.69000000,1612396799999,13479745.72624900,51624,941272.64000000,6786161.26668500,0
1612396800000,7.29880000,7.80000000,6.70290000,7.24650000,3131790.36000000,1612483199999,22808015.10732500,73156,1578788.42000000,11506128.80599300,0
1612483200000,7.24440000,8.95000000,7.17500000,8.84590000,5716049.26000000,1612569599999,47001148.32581200,138222,2945507.51000000,24244589.77405100,0
1612569600000,8.85990000,8.91810000,7.57000000,8.19140000,2906061.13000000,1612655999999,23601182.55068000,79808,1373307.53000000,11147838.95049800,0
1612656000000,8.20000000,8.39990000,7.58890000,8.05080000,2232075.16000000,1612742399999,17959373.13851100,63753,1093621.76000000,8803817.12973200,0
1612742400000,8.04140000,8.55380000,7.78000000,8.38750000,2623777.95000000,1612828799999,21621119.64581800,80037,1296026.14000000,10684990.61215000,0
1612828800000,8.38900000,11.38000000,8.25900000,9.78790000,7468791.58000000,1612915199999,72822537.72874500,207849,4082887.98000000,39803696.88116300,0
1612915200000,9.78780000,10.72000000,8.91800000,9.66690000,5801400.54000000,1613001599999,56465803.48174800,172300,2980917.72000000,29092202.36498500,0
1613001600000,9.65150000,11.21890000,9.45000000,10.45960000,3329357.88000000,1613087999999,34635308.69409500,113960,1847632.55000000,19263148.84160000,0
1613088000000,10.45960000,11.27180000,9.94350000,10.85090000,1949873.48000000,1613174399999,20681441.22170400,71721,954548.17000000,10133662.69184800,0
1613174400000,10.86300000,11.74000000,10.33570000,11.23150000,2565543.88000000,1613260799999,28492333.86586200,92750,1203094.59000000,13367449.09285800,0
1613260800000,11.24280000,13.41000000,10.57150000,11.80030000,5362077.68000000,1613347199999,65350637.02672500,164945,2684485.53000000,32736295.79514600,0
1613347200000,11.82420000,12.44390000,9.32400000,10.96690000,3387982.94000000,1613433599999,37894513.55068100,113301,1506076.51000000,16840813.00005600,0
1613433600000,10.96800000,11.53330000,10.31310000,11.06660000,2106391.95000000,1613519999999,23016303.25618300,62653,910117.16000000,9945582.24217900,0
1613520000000,11.06680000,11.66490000,10.03560000,11.49130000,2184288.87000000,1613606399999,24118602.56337800,73601,1088956.21000000,12066118.43125500,0
1613606400000,11.48270000,14.20000000,11.37370000,12.36070000,3282700.95000000,1613692799999,41466020.19787400,109388,1613792.69000000,20362514.71698900,0
1613692800000,12.39740000,13.38410000,11.80010000,12.54620000,2003862.60000000,1613779199999,25302684.96555700,74668,949005.45000000,11966530.58824800,0
1613779200000,12.56620000,13.34640000,11.57400000,12.26040000,1897214.61000000,1613865599999,24037092.53902700,72235,854522.35000000,10848441.96405700,0
