otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,13.04000000,16.00000000,12.04600000,13.83900000,895736.81500000,1610323199999,12633360.00362700,75564,438856.89900000,6219750.41560100,0
1610323200000,13.83800000,15.49200000,11.38100000,14.79500000,705678.86300000,1610927999999,9399531.12769500,52939,353696.05900000,4741123.37368900,0
1610928000000,14.85700000,18.00000000,13.00500000,15.80200000,996377.90200000,1611532799999,15442417.78147200,89361,491744.02600000,7653991.56132500,0
1611532800000,15.80200000,17.50000000,13.50300000,16.24800000,958106.75900000,1612137599999,14844062.22591900,89933,478821.07000000,7445565.10580400,0
1612137600000,16.24700000,25.60000000,15.55100000,21.97300000,1424173.15300000,1612742399999,29707746.61613000,165991,733856.53900000,15334101.86127300,0
1612742400000,21.96400000,38.00000000,21.64100000,31.30000000,1112223.06300000,1613347199999,34587198.59906200,166159,565213.04700000,17595339.28379600,0
1613347200000,31.26500000,37.88000000,25.69200000,33.65100000,884017.92100000,1613951999999,27785496.07060100,133206,435871.40600000,13756291.59949800,0
1613952000000,33.84600000,34.01600000,18.78100000,20.79700000,761339.45600000,1614556799999,19101512.75270700,81838,374053.47200000,9394908.39575700,0
1614556800000,20.91700000,35.40000000,20.89900000,32.36300000,912379.52900000,1615161599999,26863678.89655600,126821,480129.59400000,14179907.44201300,0
1615161600000,32.27200000,46.50000000,29.63800000,39.63000000,1040248.52300000,1615766399999,37716092.85877600,165197,544408.78300000,19859504.64203000,0
1615766400000,39.53100000,50.95400000,38.00000000,42.74200000,917602.16300000,1616371199999,40613841.49586200,175728,468457.12900000,20817888.02918200,0
1616371200000,42.60700000,66.32900000,34.78500000,57.77700000,1583981.87100000,1616975999999,81123372.60099600,262184,824998.09700000,42462360.64900700,0
1616976000000,57.82800000,74.00000000,51.41300000,68.42800000,1523227.40900000,1617580799999,91281508.37458100,393680,797228.06600000,47918234.91255000,0
1617580800000,68.21400000,73.85900000,55.38200000,63.79600000,966547.27700000,1618185599999,61920820.14827100,304560,481436.31600000,30907922.32476300,0
1618185600000,63.80000000,63.95400000,41.58800000,45.56100000,703531.48300000,1618790399999,38844471.23989200,178513,341716.09800000,18901060.64497700,0
1618790400000,45.56200000,53.99000000,30.37900000,32.34100000,1090185.90500000,1619395199999,46229006.47272500,150051,561968.21500000,24083096.96111200,0
1619395200000,32.30100000,49.91300000,32.22300000,45.95800000,960553.48200000,1619999999999,42833855.54114000,166075,482833.18400000,21529261.69602100,0
1620000000000,45.95800000,53.50000000,40.77700000,42.74000000,898019.86500000,1620604799999,41038314.55246100,156405,453381.12200000,20785586.76817700,0
1620604800000,42.72100000,44.50000000,31.30000000,34.64300000,1070692.15900000,1621209599999,41355348.85348900,153120,570177.06600000,22172001.15827000,0
1621209600000,34.64500000,43.24300000,14.15500000,17.97900000,2266262.84300000,1621814399999,63941300.23563200,229377,1174538.87400000,33521361.80023800,0
1621814400000,18.00200000,27.00000000,17.12800000,18.92700000,829380.31000000,1622419199999,18168918.58334900,91310,422154.98400000,9292789.70487500,0
1622419200000,18.83800000,27.08900000,17.53600000,21.59200000,1490478.03400000,1623023999999,33651984.09570200,155314,782805.89800000,17757989.38428500,0
1623024000000,21.67000000,27.45100000,16.80000000,22.09300000,1543516.34700000,1623628799999,34431516.42470400,170397,785472.19400000,17593241.14248900,0
1623628800000,22.11300000,25.50000000,17.64400000,19.44200000,672955.70700000,1624233599999,14771880.26474700,84018,338176.79800000,7432542.79931000,0
