otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00006674,0.00009511,0.00006003,0.00008068,89164084102.00000000,1610323199999,6786144.54942585,127757,45172171917.00000000,3438406.88828757,0
1610323200000,0.00008088,0.00009266,0.00006500,0.00008861,181852644983.00000000,1610927999999,15143354.36773797,115266,89940900978.00000000,7499010.11181433,0
1610928000000,0.00008876,0.00010780,0.00007500,0.00009679,217257601424.00000000,1611532799999,19113186.05276941,125010,107792894422.00000000,9478160.58094323,0
1611532800000,0.00009663,0.00014500,0.00008689,0.00010564,242524360679.00000000,1612137599999,24822343.31378932,186505,120130862624.00000000,12302658.02049592,0
1612137600000,0.00010564,0.00014020,0.00010393,0.00012825,189021692746.00000000,1612742399999,23117018.59913888,223543,94143158112.00000000,11561637.01349541,0
1612742400000,0.00012847,0.00032580,0.00012593,0.00024811,688298821171.00000000,1613347199999,149369942.67919535,777390,342256517445.00000000,74853394.32807242,0
1613347200000,0.00024813,0.00028200,0.00019000,0.00025727,210681585546.00000000,1613951999999,50625813.63125926,386177,105313312531.00000000,25316693.34087296,0
1613952000000,0.00025814,0.00026350,0.00016072,0.00019915,163530076994.00000000,1614556799999,34289709.74045999,257291,80578336886.00000000,16878935.31519253,0
1614556800000,0.00019991,0.00022815,0.00019450,0.00021383,101071050712.00000000,1615161599999,21181616.78460355,215357,50645541543.00000000,10613153.03581246,0
1615161600000,0.00021381,0.00032501,0.00020662,0.00028000,312169908266.00000000,1615766399999,80787141.37402513,541576,151707270246.00000000,39327035.16558872,0
1615766400000,0.00028095,0.00047711,0.00025000,0.00041209,890662935626.00000000,1616371199999,323098430.78887552,1262081,437310946406.00000000,159020577.24967431,0
1616371200000,0.00041209,0.00043945,0.00031000,0.00036750,977639426560.00000000,1616975999999,368310057.40883519,1457738,480159679141.00000000,180860427.87482760,0
1616976000000,0.00036740,0.00228500,0.00036389,0.00226846,4941198412909.00000000,1617580799999,5306032771.65427775,8850282,2509268186706.00000000,2706732018.08201275,0
1617580800000,0.00226411,0.00297000,0.00130109,0.00170152,4828028084713.00000000,1618185599999,9321460794.69866961,12897169,2416234587317.00000000,4673086005.09580330,0
1618185600000,0.00170164,0.00185888,0.00130511,0.00140893,2636540739420.00000000,1618790399999,4169416097.71564956,7243745,1318881327801.00000000,2089011129.78603307,0
1618790400000,0.00140948,0.00154100,0.00069000,0.00106400,2334600486674.00000000,1619395199999,2684352611.02972899,5307869,1165070456730.00000000,1340888287.91576217,0
1619395200000,0.00106400,0.00154730,0.00105410,0.00131710,1468447437170.00000000,1619999999999,1945459047.09260287,4436187,737521898094.00000000,977567746.79521571,0
1620000000000,0.00131700,0.00149620,0.00112000,0.00124450,1123097288006.00000000,1620604799999,1455567568.55206980,3845420,559795562889.00000000,726658137.07072690,0
1620604800000,0.00124500,0.00130000,0.00081040,0.00093050,802901390416.00000000,1621209599999,801579462.37596110,2571606,392267866254.00000000,391337068.61951090,0
1621209600000,0.00093050,0.00093180,0.00035920,0.00042500,697061011910.00000000,1621814399999,433361170.00606153,1641384,338192447062.00000000,210207905.08949479,0
1621814400000,0.00042480,0.00064360,0.00041340,0.00049660,555994043098.00000000,1622419199999,294898137.11576470,1272795,276238978970.00000000,146341738.65907910,0
1622419200000,0.00049650,0.00058180,0.00048050,0.00051080,365098210414.00000000,1623023999999,190631731.77924770,822872,180192879270.00000000,94106004.53340640,0
1623024000000,0.00051080,0.00052380,0.00040730,0.00045480,423702986467.00000000,1623628799999,193724130.26284450,729735,213593329561.00000000,97625348.96001730,0
1623628800000,0.00045540,0.00057470,0.00041900,0.00045710,628344812408.00000000,1624233599999,303402064.12083200,990392,313593540148.00000000,151458048.76137850,0
1624233600000,0.00045780,0.00046270,0.00028400,0.00039010,372758927325.00000000,1624838399999,142940917.45149407,746292,186094240519.00000000,71401110.60445510,0
1624838400000,0.00039010,0.00044590,0.00038000,0.00039910,360601923303.00000000,1625443199999,145818162.94231730,412378,179956831080.00000000,72755314.51379760,0
1625443200000,0.00039880,0.00040110,0.00035000,0.00036980,190550598486.00000000,1626047999999,72513690.84759000,237324,91138265285.00000000,34683545.62689090,0
1626048000000,0.00036980,0.00037670,0.00030600,0.00031290,158244248887.00000000,1626652799999,52622497.72148620,204154,77466863265.00000000,25734772.56536200,0
1626652800000,0.00031320,0.00035880,0.00026550,0.00035010,271021348107.00000000,1627257599999,84002615.95553000,285901,133736665306.00000000,41412294.12123810,0
1627257600000,0.00035020,0.00041710,0.00033320,0.00035750,350956360510.00000000,1627862399999,129107094.35376110,511229,175101313980.00000000,64448670.81587390,0
1627862400000,0.00035750,0.00048740,0.00033890,0.00044920,586729635314.00000000,1628467199999,242518797.51087530,612393,289350482238.00000000,119708656.25738220,0
1628467200000,0.00044920,0.00083590,0.00042560,0.00072780,1350089643789.00000000,1629071999999,927478241.25943280,2389966,679650832420.00000000,466740059.49190810,0
1629072000000,0.00072770,0.00076610,0.00060010,0.00066200,407113540939.00000000,1629676799999,275920411.26469770,823825,199308480847.00000000,135067861.31607340,0
1629676800000,0.00066170,0.00076200,0.00057520,0.00067750,430980703513.00000000,1630281599999,286307755.36410650,842084,214675650642.00000000,142686726.86525170,0
1630281600000,0.00067730,0.00071620,0.00060000,0.00070600,382255598260.00000000,1630886399999,254017273.95876670,693000,188203203518.00000000,125134058.56044230,0
1630886400000,0.00070560,0.00071160,0.00036000,0.00054340,337885587288.00000000,1631491199999,192645397.59449630,595468,165751505100.00000000,94297608.05438890,0
1631491200000,0.00054330,0.00055710,0.00048700,0.00049040,188148715108.00000000,1632095999999,98056687.10656620,356400,91402227457.00000000,47673375.99324950,0
1632096000000,0.00049050,0.00049190,0.00037770,0.00039770,186532387847.00000000,1632700799999,79941248.12877470,320440,91908736166.00000000,39401449.85952560,0
1632700800000,0.00039770,0.00048710,0.00038570,0.00047170,187524214036.00000000,1633305599999,81138812.54357420,247605,91799870283.00000000,39703274.84101710,0
1633305600000,0.00047170,0.00067500,0.00043980,0.00052850,843065789059.00000000,1633910399999,483885824.41130900,1274590,420271039751.00000000,241555569.69597920,0
1633910400000,0.00052830,0.00074500,0.00049680,0.00063620,530083058579.00000000,1634515199999,319954984.33487480,853689,266436435708.00000000,161027520.41358350,0
1634515200000,0.00063620,0.00072000,0.00058360,0.00060050,433581236153.00000000,1635119999999,277016154.64831190,727708,213422982206.00000000,136498253.58516990,0
1635120000000,0.00060080,0.00099000,0.00054060,0.00079370,1252402345281.00000000,1635724799999,977393742.61601300,2214126,632631807741.00000000,494126345.59929570,0
