otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.06552000,0.07022000,0.06244000,0.06646000,6894514.90000000,1609545599999,459392.08436700,5340,3253986.10000000,217488.42569200,0
1609545600000,0.06646000,0.06780000,0.06406000,0.06509000,6318446.80000000,1609631999999,415700.07185800,5770,2779791.70000000,183175.26401000,0
1609632000000,0.06516000,0.06760000,0.06400000,0.06632000,7454064.70000000,1609718399999,490303.26075700,6094,3583330.40000000,236303.76651400,0
1609718400000,0.06643000,0.07431000,0.06410000,0.07000000,15281408.90000000,1609804799999,1049067.53729200,11270,6893295.50000000,475363.48288700,0
1609804800000,0.06986000,0.07084000,0.06617000,0.06988000,8211078.80000000,1609891199999,565006.21475600,6998,3807910.70000000,261960.85644700,0
1609891200000,0.06994000,0.07754000,0.06860000,0.07588000,10498151.20000000,1609977599999,769491.57580600,9443,5279681.50000000,387964.41647000,0
1609977600000,0.07588000,0.09100000,0.07410000,0.08320000,21616154.90000000,1610063999999,1772651.60577600,17596,11260998.40000000,925482.14979100,0
1610064000000,0.08354000,0.08475000,0.07745000,0.08164000,10296231.30000000,1610150399999,841252.41401000,8393,4951609.40000000,405056.99951600,0
1610150400000,0.08139000,0.09290000,0.07989000,0.08921000,14646270.30000000,1610236799999,1297311.03455200,12109,7188709.70000000,637078.35477200,0
1610236800000,0.08920000,0.09089000,0.08020000,0.08796000,11267873.90000000,1610323199999,989737.43689600,9866,5412368.00000000,476496.58670700,0
1610323200000,0.08796000,0.08826000,0.07500000,0.08450000,16039432.80000000,1610409599999,1313545.09787700,15683,7394765.10000000,607983.55528700,0
1610409600000,0.08413000,0.08600000,0.07621000,0.08003000,7959055.00000000,1610495999999,647763.51971400,7612,3837780.80000000,313242.82985900,0
1610496000000,0.07959000,0.08722000,0.07740000,0.08356000,7976222.10000000,1610582399999,661341.04725800,6638,3901334.10000000,323235.22234200,0
1610582400000,0.08366000,0.08800000,0.08025000,0.08234000,9239826.70000000,1610668799999,774215.93570100,7508,4673593.20000000,392696.91914800,0
1610668800000,0.08237000,0.09100000,0.08000000,0.08502000,13400285.60000000,1610755199999,1129792.50311600,10682,6745340.80000000,569069.68230400,0
1610755200000,0.08545000,0.09000000,0.08382000,0.08634000,11723714.60000000,1610841599999,1015439.84605400,10166,5989574.00000000,519160.90608900,0
1610841600000,0.08678000,0.09220000,0.08200000,0.08806000,11678218.80000000,1610927999999,1014563.81223100,9304,5275605.40000000,458590.48320500,0
1610928000000,0.08806000,0.10299000,0.08798000,0.09595000,18933177.20000000,1611014399999,1828824.99565100,18260,9462984.70000000,914642.89915600,0
1611014400000,0.09597000,0.10935000,0.09333000,0.10205000,14832445.50000000,1611100799999,1540271.79494300,14522,7232173.20000000,751335.48698600,0
