otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.27480000,0.29910000,0.27400000,0.28380000,883870.82000000,1609545599999,251195.31859700,5219,481613.23000000,136972.03456100,0
1609545600000,0.28350000,0.29150000,0.27310000,0.28030000,828099.02000000,1609631999999,233041.47232000,5051,394829.50000000,111388.53704600,0
1609632000000,0.28030000,0.29000000,0.27120000,0.28740000,1274989.91000000,1609718399999,358631.48771900,6450,571957.89000000,161327.11182800,0
1609718400000,0.28740000,0.30860000,0.27000000,0.28790000,2018530.51000000,1609804799999,580516.71795600,8742,996687.51000000,287866.18706100,0
1609804800000,0.28790000,0.29740000,0.26880000,0.28660000,1181337.07000000,1609891199999,338169.25910000,6174,536795.75000000,154476.37344600,0
1609891200000,0.28760000,0.33980000,0.28240000,0.32240000,2869842.10000000,1609977599999,892659.74046600,12274,1539474.31000000,479984.93843700,0
1609977600000,0.32280000,0.39990000,0.32080000,0.35630000,5321887.54000000,1610063999999,1912141.71145500,19746,2875358.79000000,1038810.45554800,0
1610064000000,0.35680000,0.36600000,0.31400000,0.32990000,2593831.76000000,1610150399999,861442.67156000,11624,1235083.16000000,411347.16269800,0
1610150400000,0.32970000,0.40000000,0.32770000,0.35870000,3272028.13000000,1610236799999,1179485.64570400,14407,1658237.67000000,599810.05258800,0
1610236800000,0.35910000,0.39990000,0.35770000,0.39350000,4584546.33000000,1610323199999,1726803.33072800,15562,2090547.73000000,790572.78959000,0
1610323200000,0.39280000,0.39340000,0.27600000,0.31940000,2481021.16000000,1610409599999,800952.53254400,11271,1161208.24000000,374512.28464800,0
1610409600000,0.31920000,0.33060000,0.30200000,0.31230000,1311059.92000000,1610495999999,416186.74360000,6640,617713.98000000,196812.98552100,0
1610496000000,0.31250000,0.33890000,0.30220000,0.32550000,1189763.37000000,1610582399999,377631.10093600,5997,725978.01000000,230513.96446800,0
1610582400000,0.32510000,0.33320000,0.31500000,0.32350000,1478032.91000000,1610668799999,477742.72696500,6581,667624.85000000,215763.59945600,0
1610668800000,0.32350000,0.33790000,0.29190000,0.33320000,1736753.15000000,1610755199999,561534.41119100,7782,773370.92000000,250990.63080900,0
1610755200000,0.33410000,0.34910000,0.32150000,0.33380000,1722000.97000000,1610841599999,582182.59130900,8737,816195.00000000,276566.78015300,0
1610841600000,0.33380000,0.36070000,0.31000000,0.34850000,2277623.74000000,1610927999999,774571.88477600,9542,1105145.53000000,376128.25851900,0
1610928000000,0.34960000,0.38590000,0.34500000,0.36710000,2239420.87000000,1611014399999,819488.00662900,9733,1230931.41000000,452827.97330900,0
1611014400000,0.36770000,0.37790000,0.34300000,0.35090000,1642151.82000000,1611100799999,590606.24011500,7199,807585.02000000,291588.42877400,0
1611100800000,0.35040000,0.39960000,0.33280000,0.37390000,7238534.68000000,1611187199999,2711886.62337900,17010,4858324.59000000,1836319.78085800,0
1611187200000,0.37340000,0.38390000,0.33670000,0.34530000,2569107.85000000,1611273599999,919327.21861600,9287,1069560.90000000,383918.91958000,0
1611273600000,0.34380000,0.37510000,0.31710000,0.34910000,1475124.22000000,1611359999999,517277.51964700,6563,736465.57000000,259034.85322500,0
1611360000000,0.35040000,0.37000000,0.34300000,0.34920000,1430398.77000000,1611446399999,507668.65398300,5625,645014.23000000,229154.16157600,0
1611446400000,0.34950000,0.37800000,0.34810000,0.37570000,2131274.88000000,1611532799999,782135.61782600,8646,1199690.66000000,440538.43308900,0
1611532800000,0.37570000,0.39740000,0.35070000,0.35650000,2347106.88000000,1611619199999,880835.75006800,8887,1115915.34000000,420721.91997000,0
1611619200000,0.35650000,0.36170000,0.33710000,0.35160000,1434264.02000000,1611705599999,502840.15108400,5320,688806.69000000,241865.73194000,0
1611705600000,0.35110000,0.35170000,0.31210000,0.32550000,1147625.44000000,1611791999999,375558.90426400,6454,450340.00000000,147656.47139300,0
1611792000000,0.32550000,0.34690000,0.31900000,0.33490000,1854761.18000000,1611878399999,619791.67079600,9359,995454.50000000,332844.85164600,0
1611878400000,0.33490000,0.34530000,0.32010000,0.33440000,2663731.76000000,1611964799999,889620.55390300,11856,1201319.70000000,402253.67630000,0
1611964800000,0.33400000,0.37760000,0.32320000,0.35980000,3231304.49000000,1612051199999,1136946.30211900,14281,1612482.64000000,568721.87462700,0
1612051200000,0.35950000,0.37190000,0.33760000,0.35690000,2196470.94000000,1612137599999,784786.94051500,10827,973557.13000000,348517.10762200,0
1612137600000,0.35630000,0.37200000,0.35020000,0.36630000,1723403.40000000,1612223999999,620278.61885100,9139,797439.97000000,287686.27617700,0
1612224000000,0.36640000,0.37850000,0.35770000,0.36930000,1791489.51000000,1612310399999,656205.46346500,9851,902189.57000000,331275.43095200,0
1612310400000,0.36890000,0.43200000,0.36480000,0.43050000,5781069.06000000,1612396799999,2339115.25003100,22338,3193489.93000000,1299143.49399500,0
1612396800000,0.43050000,0.50340000,0.39250000,0.44060000,6280201.56000000,1612483199999,2733083.38785900,27222,3093574.66000000,1354101.14141500,0
1612483200000,0.44090000,0.52270000,0.43750000,0.46900000,5472005.22000000,1612569599999,2588314.34383700,25067,2817076.69000000,1335351.34986800,0
1612569600000,0.46860000,0.49000000,0.43200000,0.45480000,3543706.08000000,1612655999999,1619071.85049100,18629,1603539.30000000,734243.48773300,0
1612656000000,0.45470000,0.45980000,0.42020000,0.44770000,2120040.41000000,1612742399999,934712.27458100,11653,950509.03000000,419599.87485500,0
1612742400000,0.44770000,0.48860000,0.44490000,0.46400000,3383981.63000000,1612828799999,1585725.77062300,16738,1476435.62000000,693422.35700200,0
1612828800000,0.46520000,0.68970000,0.45000000,0.61810000,13554491.89000000,1612915199999,7886482.68158600,47583,7550291.26000000,4432450.15511200,0
1612915200000,0.61920000,0.66540000,0.53320000,0.60140000,8246097.17000000,1613001599999,4964452.49746800,37667,4138407.68000000,2493658.99146500,0
1613001600000,0.60190000,0.75000000,0.57600000,0.72030000,6139733.12000000,1613087999999,4300498.88257900,32507,2840258.34000000,1990617.23831400,0
1613088000000,0.72250000,1.18010000,0.65300000,1.13570000,11759668.50000000,1613174399999,10144707.58876600,51150,6408125.37000000,5578078.96029200,0
1613174400000,1.13560000,1.83490000,1.05620000,1.49000000,96082568.18000000,1613260799999,140882816.67310900,351593,50512383.96000000,74036950.94796700,0
1613260800000,1.48990000,1.59800000,1.22410000,1.29020000,20138628.91000000,1613347199999,27472933.35972600,98031,10372143.03000000,14208018.86713700,0
1613347200000,1.28730000,1.35200000,0.98000000,1.13810000,9755173.70000000,1613433599999,11334314.47806200,57374,5169562.44000000,6028606.45585500,0
1613433600000,1.13710000,1.16770000,1.01890000,1.07460000,3676112.80000000,1613519999999,4064993.79177400,28204,1713925.67000000,1896734.86203500,0
1613520000000,1.07410000,1.23960000,0.95000000,1.12360000,6499197.33000000,1613606399999,7131159.14826500,39970,3317243.14000000,3656791.50318700,0
1613606400000,1.12360000,1.22930000,1.10540000,1.15740000,4115548.81000000,1613692799999,4808030.12400800,29996,1995741.85000000,2331828.09617100,0
1613692800000,1.15740000,1.17790000,1.10360000,1.13110000,3751809.22000000,1613779199999,4250500.91078000,28035,1853797.88000000,2104522.70700900,0
1613779200000,1.13110000,1.23820000,0.99030000,1.09480000,8818328.89000000,1613865599999,10172702.71375800,50162,4517350.50000000,5217442.78751200,0
1613865600000,1.09470000,1.22200000,1.07410000,1.14970000,5742496.92000000,1613951999999,6686845.05042300,37232,3052824.84000000,3562493.95595300,0
1613952000000,1.14970000,1.16000000,0.85000000,1.04360000,5230368.71000000,1614038399999,5393320.95467700,28574,2275395.80000000,2348625.06779500,0
1614038400000,1.05090000,1.05260000,0.67000000,0.84280000,4897078.98000000,1614124799999,4127819.91262100,22720,2296237.68000000,1940615.58818400,0
1614124800000,0.84290000,1.01230000,0.78310000,0.91180000,4558243.82000000,1614211199999,4188891.37227000,24342,2443518.93000000,2243608.46308500,0
1614211200000,0.90970000,0.94800000,0.81000000,0.81300000,2889777.45000000,1614297599999,2608632.70135600,15350,1383016.06000000,1252447.93206400,0
1614297600000,0.81890000,0.99990000,0.79000000,0.92980000,5512792.24000000,1614383999999,4858328.00601000,23349,2860724.33000000,2528129.75811300,0
1614384000000,0.92980000,0.94420000,0.84090000,0.88070000,2850810.81000000,1614470399999,2567939.46978400,16187,1369317.13000000,1237666.41198200,0
1614470400000,0.87830000,0.88800000,0.75550000,0.81090000,2203750.64000000,1614556799999,1802329.86446800,11243,1015023.62000000,828812.44397200,0
1614556800000,0.81260000,1.06470000,0.80980000,0.96300000,31187771.74000000,1614643199999,30889264.84971700,68078,17344811.27000000,17182477.33274700,0
