otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.20560000,0.24610000,0.20540000,0.22170000,61958039.30000000,1609545599999,13978057.47929600,54490,29521094.53000000,6653882.30025900,0
1609545600000,0.22200000,0.22250000,0.19900000,0.20310000,31598903.12000000,1609631999999,6582780.83553400,24441,14396670.84000000,3003151.60452500,0
1609632000000,0.20310000,0.21980000,0.18750000,0.21100000,57749019.12000000,1609718399999,11564093.96990300,45949,30362107.29000000,6084081.59630500,0
1609718400000,0.21100000,0.22300000,0.18000000,0.20450000,60160618.29000000,1609804799999,12162977.85948200,46784,29907964.62000000,6066924.28899600,0
1609804800000,0.20460000,0.21540000,0.19270000,0.20480000,35599786.43000000,1609891199999,7236090.87111000,33026,17889782.15000000,3639324.44687600,0
1609891200000,0.20480000,0.29400000,0.19800000,0.25590000,190437366.01000000,1609977599999,47179794.41143700,113135,101042781.17000000,25020633.12711200,0
1609977600000,0.25580000,0.28000000,0.23580000,0.24490000,83147158.17000000,1610063999999,21388240.68051500,62307,43237853.24000000,11149451.34914800,0
1610064000000,0.24490000,0.26900000,0.21600000,0.23100000,76707924.75000000,1610150399999,18258294.74497700,61073,38545470.17000000,9188284.92520300,0
1610150400000,0.23100000,0.24790000,0.22160000,0.23890000,41841046.84000000,1610236799999,9762359.47334400,35017,21362651.27000000,4991646.21631300,0
1610236800000,0.23890000,0.25550000,0.21100000,0.23330000,52288383.99000000,1610323199999,12414731.93723200,41944,26915745.59000000,6389957.02298600,0
1610323200000,0.23320000,0.23330000,0.18810000,0.21230000,56478830.89000000,1610409599999,11739237.83322600,42369,26924368.75000000,5601935.72112500,0
1610409600000,0.21200000,0.22890000,0.20220000,0.21310000,41015566.45000000,1610495999999,8827316.47586300,36450,20926466.80000000,4511318.49928400,0
1610496000000,0.21320000,0.23140000,0.20320000,0.22900000,99767861.38000000,1610582399999,21630975.53725100,121939,51622580.23000000,11192150.43652900,0
1610582400000,0.22910000,0.23330000,0.21910000,0.22750000,85248615.49000000,1610668799999,19273986.74035500,144890,44374308.51000000,10035052.29928700,0
1610668800000,0.22750000,0.23010000,0.20420000,0.21360000,80272367.01000000,1610755199999,17400884.74471600,108818,40052908.26000000,8688137.05084800,0
1610755200000,0.21360000,0.23000000,0.20980000,0.21710000,72612628.00000000,1610841599999,15964567.37331500,70465,38218638.04000000,8406799.11361100,0
1610841600000,0.21710000,0.23390000,0.21250000,0.22330000,68094431.85000000,1610927999999,15079080.26776000,72750,35182295.16000000,7797125.25768200,0
1610928000000,0.22320000,0.24200000,0.21810000,0.23590000,69841121.68000000,1611014399999,15883834.60021300,75080,35694890.07000000,8123920.48888400,0
1611014400000,0.23590000,0.25900000,0.23440000,0.24710000,109367500.23000000,1611100799999,26825466.28817400,154367,55207647.48000000,13536015.31057500,0
1611100800000,0.24680000,0.24930000,0.21810000,0.23910000,80123847.63000000,1611187199999,18593968.02576600,50131,43619215.17000000,10119185.95755900,0
1611187200000,0.23900000,0.23940000,0.20750000,0.21130000,36244107.98000000,1611273599999,8001022.77817800,30815,15818313.70000000,3496073.68782900,0
1611273600000,0.21180000,0.22470000,0.19440000,0.21620000,35542859.69000000,1611359999999,7482410.10513100,28803,17626605.14000000,3715621.36612200,0
1611360000000,0.21600000,0.23000000,0.20820000,0.21550000,25650646.40000000,1611446399999,5544874.58716800,21103,12515632.83000000,2711631.54202900,0
1611446400000,0.21550000,0.22370000,0.20990000,0.21340000,29359124.97000000,1611532799999,6362412.54014100,20784,16040686.39000000,3478769.56997200,0
1611532800000,0.21350000,0.22870000,0.21310000,0.22120000,34938060.10000000,1611619199999,7728500.49548300,27122,18170930.19000000,4016304.71602800,0
1611619200000,0.22120000,0.24630000,0.21930000,0.24600000,85195387.65000000,1611705599999,19845223.32427600,56699,42521725.84000000,9926501.51751700,0
1611705600000,0.24610000,0.25770000,0.22070000,0.23220000,82814162.62000000,1611791999999,19707267.31744400,56439,39234227.66000000,9360619.99954100,0
1611792000000,0.23220000,0.24030000,0.22600000,0.23340000,46523457.90000000,1611878399999,10783681.49900000,31987,23180933.61000000,5379878.35556300,0
1611878400000,0.23350000,0.24980000,0.22750000,0.23500000,84220190.58000000,1611964799999,19979438.39831500,53764,41199464.44000000,9776312.33964200,0
1611964800000,0.23500000,0.23790000,0.22050000,0.23200000,49106684.03000000,1612051199999,11316528.85482000,31765,25764951.21000000,5944147.92109800,0
1612051200000,0.23220000,0.24160000,0.22630000,0.23580000,45345949.59000000,1612137599999,10531929.71304900,28824,22567992.79000000,5246348.56545100,0
1612137600000,0.23610000,0.27880000,0.23020000,0.26700000,128768167.58000000,1612223999999,32707109.87767500,82676,61755328.59000000,15683079.86136900,0
1612224000000,0.26700000,0.29390000,0.25440000,0.27730000,110971297.07000000,1612310399999,30492804.36020800,64956,53425385.77000000,14697814.21020600,0
1612310400000,0.27770000,0.28860000,0.27000000,0.28680000,52846282.26000000,1612396799999,14753453.07422400,32094,27285075.68000000,7617814.72025600,0
1612396800000,0.28680000,0.28990000,0.25990000,0.26570000,62495180.09000000,1612483199999,17082149.28174000,37450,31316172.47000000,8557705.49698900,0
1612483200000,0.26570000,0.28900000,0.26470000,0.28890000,47999645.17000000,1612569599999,13311985.33952500,31238,25130016.47000000,6975060.03946700,0
1612569600000,0.28880000,0.29380000,0.26880000,0.27550000,50038649.01000000,1612655999999,13928180.04723000,33580,25452252.98000000,7089628.55522000,0
1612656000000,0.27550000,0.32170000,0.27100000,0.31050000,89560254.60000000,1612742399999,25897372.21227800,55135,47947155.25000000,13885743.40603300,0
1612742400000,0.31030000,0.36100000,0.30690000,0.32830000,151702498.21000000,1612828799999,50078219.91136800,100564,80472389.72000000,26589232.70611300,0
1612828800000,0.32860000,0.34240000,0.32010000,0.33680000,64906833.19000000,1612915199999,21462546.26697400,50146,32039374.17000000,10597311.21197000,0
1612915200000,0.33670000,0.38210000,0.32000000,0.37140000,105202424.82000000,1613001599999,36949314.47196400,88288,52419897.66000000,18428594.73264600,0
1613001600000,0.37130000,0.41200000,0.36370000,0.40060000,80070580.72000000,1613087999999,31368668.48249500,67581,42506191.79000000,16648651.50922100,0
1613088000000,0.40050000,0.41950000,0.37560000,0.40100000,82882109.54000000,1613174399999,33131829.63210200,63908,44722968.44000000,17857857.70859100,0
1613174400000,0.40150000,0.43000000,0.37000000,0.40280000,95162605.03000000,1613260799999,37643814.82550900,70473,49899228.79000000,19742287.31013500,0
1613260800000,0.40290000,0.40570000,0.35700000,0.36910000,68010963.79000000,1613347199999,25990953.38218800,54795,34645741.44000000,13246652.48697200,0
1613347200000,0.36890000,0.41000000,0.32000000,0.38260000,76072129.12000000,1613433599999,27982652.35438500,72407,37218751.94000000,13674778.82417200,0
1613433600000,0.38300000,0.39800000,0.36500000,0.38010000,42669726.97000000,1613519999999,16285044.80749800,40959,21120274.87000000,8063360.15653800,0
1613520000000,0.38020000,0.40490000,0.36400000,0.39640000,47491415.85000000,1613606399999,18368882.99831100,39254,23801601.23000000,9191558.21965100,0
1613606400000,0.39670000,0.43840000,0.39450000,0.43510000,67144097.89000000,1613692799999,28111066.80146400,64496,35376763.03000000,14823672.36458500,0
1613692800000,0.43450000,0.52800000,0.41040000,0.52560000,95283161.33000000,1613779199999,44522870.82164400,95399,50828860.70000000,23784332.85981200,0
1613779200000,0.52600000,0.56410000,0.46020000,0.50610000,90504147.52000000,1613865599999,47547563.90232800,98557,45903652.97000000,24116375.86459100,0
1613865600000,0.50620000,0.57870000,0.49640000,0.56300000,61031444.29000000,1613951999999,32806680.34453300,72184,32665158.34000000,17559674.97602000,0
