otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.21100000,0.29400000,0.18000000,0.23330000,540182284.48000000,1610323199999,128402489.97809700,393286,278902248.21000000,66446221.37663400,0
1610323200000,0.23320000,0.23390000,0.18810000,0.22330000,503490301.07000000,1610927999999,109916048.97248600,597681,257301565.75000000,56232518.37836600,0
1610928000000,0.22320000,0.25900000,0.19440000,0.21340000,386129208.58000000,1611532799999,88693988.92477100,381083,196522990.78000000,45181217.92297000,0
1611532800000,0.21350000,0.25770000,0.21310000,0.23580000,428143892.47000000,1612137599999,99892569.60238700,286600,212640225.74000000,49650113.41484000,0
1612137600000,0.23610000,0.32170000,0.23020000,0.31050000,542679475.78000000,1612742399999,148173054.19288000,337129,272311387.21000000,74506846.28954000,0
1612742400000,0.31030000,0.43000000,0.30690000,0.36910000,647938015.30000000,1613347199999,236625346.97260000,495755,336705792.01000000,123110587.66564800,0
1613347200000,0.36890000,0.57870000,0.32000000,0.56300000,480196122.97000000,1613951999999,215624762.03016300,483256,246915063.08000000,111213753.26536900,0
1613952000000,0.56290000,0.76800000,0.42500000,0.60950000,1583383775.07000000,1614556799999,892809110.34245400,1403529,789125405.77000000,445419580.41523800,0
1614556800000,0.60950000,0.86450000,0.58150000,0.71620000,1246701728.22000000,1615161599999,910836501.67182100,1496758,614865129.14000000,449053272.97011800,0
1615161600000,0.71620000,0.73200000,0.32250000,0.33030000,3414647174.92000000,1615766399999,1582505260.08588900,2841379,1611789538.32000000,748496689.18075300,0
1615766400000,0.33040000,0.41840000,0.32350000,0.36690000,1915574765.08000000,1616371199999,715311288.58426900,1635151,999374452.86000000,373621599.07660900,0
1616371200000,0.36700000,0.38770000,0.31070000,0.35820000,804109121.36000000,1616975999999,280498031.14549900,698150,419013756.89000000,146268661.05375600,0
1616976000000,0.35840000,0.40700000,0.34340000,0.38750000,907855714.78000000,1617580799999,339915442.80958100,787596,475766277.70000000,178377741.41067000,0
1617580800000,0.38780000,0.48640000,0.34520000,0.44170000,1836059323.23000000,1618185599999,765734288.25211400,1680400,915407505.19000000,381935367.95716500,0
1618185600000,0.44210000,0.52680000,0.34500000,0.40360000,1663020298.21000000,1618790399999,721835787.96442200,1532708,810380595.95000000,352392768.98626800,0
1618790400000,0.40360000,0.41580000,0.22470000,0.27010000,1264574002.06000000,1619395199999,402387501.74346700,913421,626053834.98000000,198719526.17272000,0
1619395200000,0.27020000,0.35990000,0.26640000,0.34060000,947933209.81000000,1619999999999,314648944.77521300,737928,479876497.95000000,159207579.72440900,0
1620000000000,0.34090000,0.43130000,0.30140000,0.37670000,1586401994.98000000,1620604799999,592965486.24779100,1436591,790740916.68000000,295954647.11636500,0
1620604800000,0.37650000,0.38700000,0.28080000,0.29930000,1032535447.99000000,1621209599999,338589821.55300100,840548,499707248.76000000,163887620.46386500,0
1621209600000,0.29930000,0.29980000,0.13550000,0.16250000,1104597430.28000000,1621814399999,245977848.63419000,794538,563516546.54000000,125341797.57722300,0
1621814400000,0.16260000,0.21800000,0.15550000,0.18200000,673175284.31000000,1622419199999,126376444.40012300,459760,337220090.57000000,63249119.25372500,0
1622419200000,0.18200000,0.20700000,0.17210000,0.18760000,433173663.05000000,1623023999999,81882689.42926200,270584,214158015.58000000,40493384.08386600,0
1623024000000,0.18760000,0.19280000,0.15270000,0.16560000,375330856.64000000,1623628799999,63154855.52644500,187943,181163446.45000000,30543144.31356800,0
1623628800000,0.16560000,0.18090000,0.13260000,0.14220000,357787870.60000000,1624233599999,56904271.50224900,167313,177689817.19000000,28321855.86855900,0
1624233600000,0.14230000,0.14370000,0.08520000,0.11270000,691803860.80000000,1624838399999,75433810.98080500,264811,344202787.75000000,37488085.62748600,0
