otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.12759000,0.13992000,0.12644000,0.13207000,241901706.10000000,1609545599999,32256304.03278700,87371,118448987.40000000,15804934.14923500,0
1609545600000,0.13223000,0.13515000,0.12665000,0.12751000,222846091.60000000,1609631999999,28973715.54706500,81233,113665425.30000000,14778376.40721400,0
1609632000000,0.12752000,0.13927000,0.12400000,0.13653000,397760722.30000000,1609718399999,52587420.45105500,130842,190738535.40000000,25263298.56186300,0
1609718400000,0.13656000,0.16750000,0.12780000,0.16404000,966556893.50000000,1609804799999,144603949.96337400,324104,496032207.00000000,74239412.54500300,0
1609804800000,0.16410000,0.21000000,0.15000000,0.19291000,1166645286.00000000,1609891199999,209333530.85087300,423858,600458461.50000000,107861587.00448400,0
1609891200000,0.19303000,0.39000000,0.19166000,0.33938000,3305718352.50000000,1609977599999,966724786.50578390,1450888,1673280137.72000000,488969303.24953790,0
1609977600000,0.33976000,0.41194000,0.28888000,0.31124000,1712004424.81000000,1610063999999,599030816.99994100,926898,859753797.21000000,301631236.78626000,0
1610064000000,0.31141000,0.33120000,0.26014000,0.29700000,984017607.40000000,1610150399999,294535750.82391000,470092,492767725.10000000,147655613.43845800,0
1610150400000,0.29706000,0.32900000,0.28132000,0.31054000,630029959.70000000,1610236799999,189774771.78326100,353178,315924919.50000000,95170740.20873000,0
1610236800000,0.31070000,0.32500000,0.26000000,0.28450000,568733844.50000000,1610323199999,169814198.05747000,321283,281963561.20000000,84278086.58174800,0
1610323200000,0.28449000,0.28506000,0.21065000,0.27119000,849119358.90000000,1610409599999,207918640.48151800,418706,427763627.60000000,104752763.56858600,0
1610409600000,0.27116000,0.31100000,0.25300000,0.27993000,924532021.20000000,1610495999999,264453879.78029600,503491,455718394.50000000,130353011.84659900,0
1610496000000,0.27991000,0.31000000,0.27200000,0.30356000,508938545.30000000,1610582399999,147394313.71287400,325740,255682431.50000000,74078055.79443300,0
1610582400000,0.30382000,0.32440000,0.28758000,0.30350000,509036633.70000000,1610668799999,153552986.69649300,274483,253162875.70000000,76397056.40354700,0
1610668800000,0.30350000,0.31376000,0.25890000,0.28374000,473470475.20000000,1610755199999,136936802.97856700,267846,237583836.00000000,68806968.94892500,0
1610755200000,0.28389000,0.31190000,0.27680000,0.29075000,465267798.20000000,1610841599999,137703460.20473600,264165,228139827.10000000,67535771.73608900,0
1610841600000,0.29075000,0.31940000,0.28600000,0.30380000,543229586.60000000,1610927999999,164173427.91825800,297801,276020610.90000000,83447302.46029300,0
1610928000000,0.30368000,0.30929000,0.29303000,0.30544000,276589020.70000000,1611014399999,83069000.03934600,149819,133767485.50000000,40180617.74008200,0
1611014400000,0.30530000,0.31995000,0.29000000,0.29748000,492748733.20000000,1611100799999,151948235.89974600,270526,249364042.10000000,76897495.68106800,0
1611100800000,0.29775000,0.30193000,0.27346000,0.29358000,312544139.10000000,1611187199999,90043200.31913100,182893,151073174.30000000,43547355.48504000,0
1611187200000,0.29364000,0.29492000,0.24288000,0.25140000,296818169.10000000,1611273599999,80540560.20527200,186118,144944546.90000000,39364850.87085300,0
1611273600000,0.25125000,0.28200000,0.22700000,0.26941000,417369524.60000000,1611359999999,107616505.43940000,214934,205709877.70000000,53146905.58621400,0
1611360000000,0.26928000,0.27957000,0.26302000,0.26977000,206829031.30000000,1611446399999,56120980.35247800,117940,104007127.20000000,28224236.37277800,0
1611446400000,0.26976000,0.28310000,0.26220000,0.27138000,219146598.30000000,1611532799999,60003115.43270200,121236,111885157.40000000,30635170.96543100,0
1611532800000,0.27139000,0.27714000,0.25974000,0.26102000,187688410.00000000,1611619199999,50985335.37233100,107429,94305894.30000000,25633564.07093900,0
