otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,138.24000000,190.00000000,128.72000000,184.89000000,1705712.60173000,1610323199999,252247794.26794990,581892,901179.02243000,133503387.89105030,0
1610323200000,185.03000000,186.42000000,142.00000000,159.65000000,1649393.01087000,1610927999999,264708242.97006750,554712,845305.15221000,135821229.78531050,0
1610928000000,159.61000000,165.62000000,121.82000000,138.03000000,1040109.37772000,1611532799999,151441037.23347490,314244,511203.38815000,74243907.42721050,0
1611532800000,138.04000000,150.00000000,123.55000000,137.73000000,938674.28674000,1612137599999,128143589.04193110,334390,480644.31357000,65644608.98619740,0
1612137600000,137.73000000,158.16000000,135.64000000,150.31000000,758832.41347000,1612742399999,113681061.14983680,322117,382600.43643000,57310378.92578860,0
1612742400000,150.30000000,255.32000000,147.22000000,230.14000000,1548741.60660000,1613347199999,306676470.48231710,653079,793806.14116000,156991086.14731480,0
1613347200000,230.13000000,288.80000000,200.83000000,247.28000000,1360035.14370000,1613951999999,338029475.76591770,673926,675594.20416000,167954389.27479080,0
1613952000000,247.37000000,248.66000000,170.15000000,219.18000000,1468437.63054000,1614556799999,309145640.69187950,652939,740329.42319000,155811011.82750530,0
1614556800000,219.23000000,232.51000000,198.15000000,208.99000000,718285.21908000,1615161599999,153988079.79980650,325835,368354.36819000,78944162.37479860,0
1615161600000,209.07000000,241.00000000,204.00000000,232.25000000,657271.84890000,1615766399999,146814263.66805460,353538,347904.09551000,77666652.24513380,0
1615766400000,232.21000000,240.33000000,211.08000000,231.66000000,651792.82490000,1616371199999,149321252.48814340,351193,325382.86121000,74579538.54956570,0
1616371200000,231.71000000,233.27000000,204.59000000,232.66000000,637624.91575000,1616975999999,141303423.37373310,359414,325564.07613000,72204035.62852660,0
1616976000000,232.64000000,272.50000000,230.55000000,263.60000000,895973.05471000,1617580799999,225503476.88161270,551570,483372.71760000,121707670.39398150,0
1617580800000,263.49000000,329.51000000,250.54000000,328.90000000,1030983.02950000,1618185599999,288309655.49307380,683061,539458.62293000,151201960.74139210,0
1618185600000,328.93000000,376.24000000,281.00000000,338.48000000,1275677.91844000,1618790399999,423437315.33668120,941495,638617.04589000,212260004.07837760,0
1618790400000,338.45000000,426.47000000,300.47000000,355.44000000,2006364.35105000,1619395199999,739461109.54815490,1417185,1037343.67466000,383272713.34340690,0
1619395200000,355.35000000,440.00000000,340.04000000,404.46000000,1026903.05498000,1619999999999,417449872.47676620,845414,535049.99340000,217914567.13097950,0
1620000000000,404.28000000,519.13000000,375.69000000,484.00000000,1458967.73013000,1620604799999,649402427.36366080,1309837,763205.82862000,339555173.41447020,0
1620604800000,484.29000000,497.55000000,369.78000000,390.65000000,1209011.35002000,1621209599999,511161960.45107130,1025062,589952.46055000,249818378.99222850,0
1621209600000,390.55000000,390.57000000,124.69000000,225.50000000,3013125.49476000,1621814399999,790388759.41364420,1793563,1513721.26802000,397390851.23429770,0
1621814400000,225.81000000,297.40000000,214.66000000,261.90000000,1587812.44554000,1622419199999,400720553.39342530,1117510,788403.10008000,199224435.53443090,0
1622419200000,261.88000000,316.23000000,242.45000000,272.50000000,1010170.65336000,1623023999999,280903517.27485550,847828,506367.55295000,140875155.59716540,0
1623024000000,272.50000000,283.00000000,222.27000000,260.75000000,836304.96451000,1623628799999,213899180.52882000,548855,425095.00341000,108717730.73185230,0
1623628800000,260.79000000,288.66000000,247.66000000,264.53000000,852930.23903000,1624233599999,231697533.20191630,717481,434367.01549000,118013954.39625220,0
1624233600000,264.56000000,265.71000000,180.07000000,211.92000000,1269977.87840000,1624838399999,267116403.73826300,628095,644239.67266000,135629695.46003010,0
1624838400000,211.92000000,227.04000000,199.30000000,219.92000000,710819.26614000,1625443199999,152355400.15663050,420423,354584.27177000,75968526.49909320,0
1625443200000,219.87000000,231.61000000,199.69000000,211.52000000,622793.60852000,1626047999999,132989330.87312450,329450,318805.85587000,68131735.02581290,0
1626048000000,211.88000000,216.81000000,190.17000000,199.41000000,576990.23014000,1626652799999,115537849.66195400,288980,299384.88682000,59932784.97564570,0
1626652800000,199.51000000,214.67000000,178.60000000,212.91000000,630391.45367000,1627257599999,122935992.66073160,338109,331946.57626000,64833386.51621750,0
1627257600000,212.87000000,249.47000000,212.50000000,235.45000000,754874.37999000,1627862399999,176014185.75120260,477742,397163.87647000,92637448.89775420,0
1627862400000,235.57000000,275.92000000,223.00000000,257.12000000,743509.81106000,1628467199999,185890169.90931300,507474,380266.27364000,95113013.52950130,0
1628467200000,257.23000000,279.39000000,252.24000000,271.86000000,652454.64078000,1629071999999,174266595.48814090,451246,329939.65409000,88163649.39087250,0
1629072000000,271.80000000,306.77000000,245.66000000,306.38000000,813764.26263000,1629676799999,222475062.12206240,650285,415106.91615000,113572863.03179080,0
1629676800000,306.30000000,339.72000000,285.70000000,291.40000000,868998.16962000,1630281599999,269670971.23621630,730400,441649.08904000,137137047.93385230,0
1630281600000,291.40000000,319.60000000,279.20000000,315.40000000,645399.57151000,1630886399999,192910627.40793970,471696,323011.73491000,96572227.24480770,0
1630886400000,315.40000000,321.70000000,232.00000000,256.20000000,968921.40443000,1631491199999,260790795.25322700,602456,471503.33841000,126847969.36123020,0
1631491200000,256.30000000,276.50000000,241.10000000,259.80000000,833437.55200000,1632095999999,219619105.00590000,536776,415870.79700000,109631124.77030000,0
1632096000000,259.90000000,261.60000000,212.00000000,234.20000000,945664.62743000,1632700799999,222972122.89994320,465810,464915.99888000,109670077.46828500,0
1632700800000,234.10000000,263.80000000,228.20000000,259.30000000,728042.63300000,1633305599999,179651478.79570000,400313,371151.02300000,91624837.23160000,0
1633305600000,259.40000000,296.80000000,251.20000000,270.00000000,823638.47700000,1633910399999,227475833.46984450,558667,416856.84600000,115108099.41984450,0
1633910400000,270.10000000,283.40000000,253.10000000,261.10000000,695828.25900000,1634515199999,188973229.87860000,458842,344422.11800000,93580238.17300000,0
1634515200000,261.20000000,295.30000000,251.40000000,289.30000000,697905.57500000,1635119999999,186560260.04450000,552578,362336.58700000,96991076.16880000,0
1635120000000,289.30000000,299.00000000,247.80000000,274.90000000,956907.69300000,1635724799999,262458292.74060000,707974,480409.58700000,131967285.65430000,0
1635724800000,275.00000000,283.00000000,249.00000000,266.80000000,529972.02000000,1636329599999,140630147.79100000,401954,269001.16700000,71337220.61320000,0
1636329600000,266.70000000,294.10000000,252.00000000,275.00000000,858619.27200000,1636934399999,233506879.05280000,706391,435146.14400000,118441054.54610000,0
1636934400000,275.00000000,279.00000000,200.00000000,250.50000000,785754.89533000,1637539199999,192504167.99042880,493018,381675.71333000,93511658.60045000,0
1637539200000,250.50000000,251.20000000,216.60000000,239.10000000,782661.84500000,1638143999999,184392123.84090000,409663,398631.88400000,93968672.25270000,0
1638144000000,239.10000000,256.60000000,177.50000000,201.30000000,874720.47834000,1638748799999,196558725.41749170,497138,441474.75186000,99182689.69578650,0
1638748800000,201.40000000,204.00000000,185.90000000,200.90000000,106934.57700000,1639353599999,20896230.26450000,59012,53721.28500000,10489972.13100000,0
