otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,1.94700000,5.48900000,1.64000000,3.10000000,84740312.20000000,1610323199999,260168677.24946000,397920,41206178.56000000,126761492.36550000,0
1610323200000,3.10700000,3.12900000,1.34400000,1.86600000,50244527.97000000,1610927999999,104999535.66930000,199491,24892550.85000000,52021181.71367000,0
1610928000000,1.87100000,2.68600000,1.31500000,1.77500000,36538073.61000000,1611532799999,71983191.65663000,165565,19373765.31000000,38077460.23551000,0
1611532800000,1.77500000,5.97600000,1.35000000,5.21000000,93019806.75000000,1612137599999,299674742.52425000,359252,48734235.82000000,155825400.57329000,0
1612137600000,5.21000000,10.56300000,2.32200000,3.24900000,104313205.19000000,1612742399999,437526664.86214000,486212,53149336.08000000,221468933.27231000,0
1612742400000,3.24500000,6.46000000,3.15700000,5.57500000,43254662.56000000,1613347199999,202347912.59972000,301102,22910323.28000000,106924777.30922000,0
1613347200000,5.58600000,5.76000000,3.42400000,4.46100000,26271756.95000000,1613951999999,121115439.39212000,223429,13940483.58000000,64405498.58536000,0
1613952000000,4.46400000,5.80400000,2.00000000,2.71800000,43110027.83000000,1614556799999,160427546.76203000,274198,21836702.55000000,81434064.10868000,0
1614556800000,2.72000000,3.47200000,2.68600000,3.18800000,14812220.64000000,1615161599999,45523328.37880000,109901,8007596.91000000,24553943.20606000,0
1615161600000,3.20000000,3.43000000,2.71200000,2.86100000,6889200.00000000,1615766399999,21534624.28264000,54631,3364284.56000000,10509298.65508000,0
1615766400000,2.85900000,3.85000000,2.69600000,3.55800000,14591128.83000000,1616371199999,48053359.15851000,112819,7712889.93000000,25402214.10380000,0
1616371200000,3.55400000,4.35200000,2.82400000,3.80000000,16825106.25000000,1616975999999,63348263.45852000,135844,8671134.54000000,32613448.95865000,0
1616976000000,3.80300000,4.96100000,3.57000000,4.82000000,15011842.99000000,1617580799999,63095573.71175000,140815,7732718.08000000,32507688.98875000,0
1617580800000,4.81300000,22.00000000,4.59000000,18.45300000,62617796.08000000,1618185599999,721436034.62191000,925406,31747232.94000000,368886623.20751000,0
1618185600000,18.45300000,31.40000000,13.00000000,18.81000000,27289177.29000000,1618790399999,627548799.62904000,774101,13896847.53000000,318843614.67110000,0
1618790400000,18.83600000,21.20000000,7.93800000,10.90100000,24246734.53000000,1619395199999,346038846.11304000,529003,12016979.37000000,172816146.83824000,0
1619395200000,10.92200000,22.99900000,10.50100000,20.75900000,20787750.47000000,1619999999999,370083775.02995000,581415,10508802.87000000,187272865.60780000,0
1620000000000,20.72700000,24.67300000,15.65300000,19.46200000,14679958.75000000,1620604799999,296191897.55779000,420220,7534443.64000000,152181863.59390000,0
1620604800000,19.53400000,21.50900000,11.90000000,17.08400000,19938092.58000000,1621209599999,332152276.43077000,484694,10000114.31000000,166771039.05883000,0
