otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,2.01020000,2.12670000,1.97000000,2.00750000,5966646.69000000,1609545599999,12237210.10872100,54054,2697990.18000000,5536739.14859900,0
1609545600000,2.00810000,2.05740000,1.94230000,1.99920000,6189025.20000000,1609631999999,12384780.01610200,58794,2910218.93000000,5826467.45238800,0
1609632000000,1.99890000,2.25000000,1.95050000,2.13450000,10918873.35000000,1609718399999,22896353.72849600,89426,5194176.83000000,10895254.92633600,0
1609718400000,2.13460000,2.35470000,2.00240000,2.32840000,15524322.15000000,1609804799999,34147269.99217500,130582,7804010.75000000,17186145.61635400,0
1609804800000,2.32900000,2.46120000,2.12650000,2.37700000,13003346.01000000,1609891199999,30281262.74836300,121722,6257645.94000000,14574941.09595000,0
1609891200000,2.37610000,2.73680000,2.29400000,2.64760000,14573954.91000000,1609977599999,36873941.05012400,142576,7091223.33000000,17969470.48371000,0
1609977600000,2.64750000,2.80000000,2.40000000,2.52940000,13163275.70000000,1610063999999,34371574.31873200,128262,6351108.76000000,16615198.35839600,0
1610064000000,2.52940000,2.57270000,2.24370000,2.45470000,10517100.29000000,1610150399999,25398825.29322000,116856,5229971.53000000,12627283.06098700,0
1610150400000,2.45700000,2.68860000,2.41270000,2.63570000,9126527.91000000,1610236799999,23369122.46897600,97291,4655241.16000000,11921087.21965600,0
1610236800000,2.63570000,2.94660000,2.40000000,2.76210000,18051322.96000000,1610323199999,48674702.17654100,176085,9268303.37000000,25045145.81509600,0
1610323200000,2.76260000,2.77000000,2.10100000,2.32820000,19220422.45000000,1610409599999,45302402.26555700,188006,9613519.67000000,22677618.54533600,0
1610409600000,2.32970000,2.45000000,2.19100000,2.29800000,10849061.62000000,1610495999999,25261134.20913200,116173,5263357.43000000,12253865.83220600,0
1610496000000,2.29790000,2.50480000,2.22610000,2.49990000,8458642.61000000,1610582399999,20034322.69780000,94866,4428188.84000000,10488456.58053700,0
1610582400000,2.50260000,2.62000000,2.40520000,2.55280000,9553460.42000000,1610668799999,23909562.00787600,94225,4933968.39000000,12356552.29619500,0
1610668800000,2.55350000,2.91050000,2.45570000,2.71180000,18692818.15000000,1610755199999,49728536.89582400,182361,9548497.91000000,25438618.39402700,0
1610755200000,2.70870000,3.18380000,2.69710000,2.85400000,23966753.29000000,1610841599999,71065266.81751100,235307,12153178.80000000,36090344.10252800,0
1610841600000,2.85070000,3.11820000,2.68330000,2.97140000,14670894.46000000,1610927999999,42675291.91102400,166572,7349429.34000000,21393570.58270700,0
1610928000000,2.97160000,3.11230000,2.84000000,3.03310000,10498147.01000000,1611014399999,31364494.51692400,130030,5160737.97000000,15427151.63683200,0
1611014400000,3.03300000,3.22630000,2.86890000,2.87450000,13125598.74000000,1611100799999,39809838.97437700,148485,6542720.35000000,19859514.36498700,0
1611100800000,2.87450000,2.95120000,2.64500000,2.90990000,10486052.32000000,1611187199999,29450414.11870100,129812,4972740.52000000,13972977.91763200,0
1611187200000,2.90990000,2.93350000,2.42430000,2.46050000,9577832.76000000,1611273599999,25211571.97150700,125801,4504656.81000000,11859991.01163300,0
1611273600000,2.45870000,3.11000000,2.30000000,2.90890000,21880992.61000000,1611359999999,61737490.87748900,212072,10830254.64000000,30578296.79827300,0
1611360000000,2.90810000,3.39900000,2.82300000,3.16390000,28152155.60000000,1611446399999,90365966.28428200,256785,14027309.14000000,45096957.29969300,0
1611446400000,3.16170000,3.29500000,2.90390000,3.04490000,12848036.68000000,1611532799999,40027184.45567600,138844,6123966.94000000,19105226.82809400,0
1611532800000,3.04310000,3.18320000,2.90010000,2.91880000,9205883.54000000,1611619199999,28326127.53397300,107744,4554917.21000000,14026028.29537100,0
1611619200000,2.91860000,3.01270000,2.75020000,2.90740000,6943714.44000000,1611705599999,19967325.35156600,88844,3330231.56000000,9568790.25746700,0
1611705600000,2.90390000,2.93890000,2.62680000,2.79310000,8195049.36000000,1611791999999,22826180.52067700,102971,4082718.28000000,11380691.81028500,0
1611792000000,2.79040000,3.08880000,2.71510000,2.99770000,11454435.66000000,1611878399999,34039887.17270800,132891,5895971.27000000,17523762.82160100,0
1611878400000,2.99430000,3.06920000,2.79300000,2.91160000,9938098.98000000,1611964799999,29084796.29550600,116808,4586444.53000000,13426468.77939800,0
1611964800000,2.91080000,3.01930000,2.80320000,2.89910000,8315267.83000000,1612051199999,24155796.59548100,98574,3902071.80000000,11337642.47544200,0
1612051200000,2.89910000,2.94850000,2.73100000,2.84440000,7745514.36000000,1612137599999,22060227.16371900,89465,3663926.94000000,10447768.91034200,0
1612137600000,2.84400000,2.93440000,2.75500000,2.92480000,7066178.49000000,1612223999999,20115331.09377500,86365,3161593.64000000,9008387.52339600,0
1612224000000,2.92370000,2.96000000,2.82800000,2.90920000,6413113.60000000,1612310399999,18624318.35209600,66382,3146690.75000000,9139371.53571800,0
1612310400000,2.90930000,3.18850000,2.88490000,3.04940000,12521000.70000000,1612396799999,38134367.82919900,121013,6270319.10000000,19101408.06229200,0
1612396800000,3.04890000,3.16900000,2.84000000,2.96500000,13965324.99000000,1612483199999,41967229.83994200,142715,6419345.86000000,19322155.02080000,0
1612483200000,2.96500000,3.52610000,2.95070000,3.47350000,16649828.83000000,1612569599999,54168612.33545600,171880,8402505.19000000,27363309.38468600,0
1612569600000,3.47350000,3.51540000,3.08180000,3.17310000,12605575.90000000,1612655999999,40577226.05178300,125841,5764177.99000000,18566557.01192800,0
1612656000000,3.17290000,3.46740000,3.05300000,3.30500000,15460134.90000000,1612742399999,50644955.58340500,163065,7905540.95000000,25927333.87192100,0
1612742400000,3.30740000,3.44170000,3.23300000,3.40670000,11138485.44000000,1612828799999,37384478.16141800,118725,5561878.75000000,18672570.95545400,0
1612828800000,3.41250000,3.87470000,3.18590000,3.76070000,22387687.55000000,1612915199999,79030597.76066000,227333,11360563.04000000,40154592.80906900,0
1612915200000,3.76140000,3.89700000,3.43950000,3.84690000,17965513.56000000,1613001599999,66538846.83189600,188854,8840974.80000000,32772571.19374500,0
1613001600000,3.84680000,4.31650000,3.78740000,4.11230000,18455238.00000000,1613087999999,75575575.52433900,202178,9676567.22000000,39670181.10189400,0
1613088000000,4.11500000,5.44110000,4.00210000,5.01530000,26932515.65000000,1613174399999,126282654.00615600,282780,13989997.52000000,65664744.07631000,0
1613174400000,5.01470000,5.37810000,4.55380000,5.36840000,21518349.83000000,1613260799999,107977025.21859600,250722,10746943.21000000,54014491.23383800,0
1613260800000,5.36840000,5.64710000,4.71260000,4.86260000,16097764.92000000,1613347199999,82950068.24953900,200441,7888839.49000000,40718595.76117700,0
1613347200000,4.86310000,4.96330000,3.83700000,4.54060000,20579127.66000000,1613433599999,93003180.69022600,239008,9976171.19000000,45167855.86647800,0
1613433600000,4.53530000,4.89280000,4.30540000,4.54480000,13950657.23000000,1613519999999,64270089.90151300,179886,7121582.71000000,32828899.41592100,0
1613520000000,4.54520000,4.76840000,4.18280000,4.60600000,12536073.46000000,1613606399999,56813881.49094200,166164,6174149.60000000,27979707.32570200,0
1613606400000,4.60280000,4.99800000,4.50090000,4.84360000,13266538.18000000,1613692799999,62840213.39196600,164182,6623741.26000000,31408691.29796800,0
1613692800000,4.84480000,5.10940000,4.56750000,4.97070000,12114212.41000000,1613779199999,59091357.47921400,144236,6188100.18000000,30204210.31734300,0
1613779200000,4.97070000,5.15100000,4.32100000,4.63680000,15895484.01000000,1613865599999,77751835.58505300,276104,7992220.75000000,39177039.47778100,0
1613865600000,4.64060000,4.80510000,4.50140000,4.67590000,11079322.50000000,1613951999999,51958156.17739300,204886,5359067.91000000,25129833.03182500,0
1613952000000,4.67500000,4.68560000,3.61050000,4.27520000,21560444.64000000,1614038399999,91030116.04874800,192897,10592268.16000000,44819025.06592800,0
1614038400000,4.27590000,4.29770000,2.90130000,3.55190000,23622981.48000000,1614124799999,83874295.81868000,219067,11353551.20000000,40321585.80771400,0
1614124800000,3.54880000,3.89890000,3.35420000,3.53240000,16068518.85000000,1614211199999,58619047.07294200,132117,8390738.97000000,30603275.48588900,0
1614211200000,3.53410000,3.83830000,3.28470000,3.33690000,18442535.71000000,1614297599999,66003188.92167500,125923,10077084.45000000,36036100.21819400,0
1614297600000,3.33750000,3.79920000,3.16810000,3.46920000,16572951.45000000,1614383999999,57245243.62685800,122394,8228401.25000000,28450201.66385500,0
1614384000000,3.46930000,3.86660000,3.46250000,3.63440000,10346853.31000000,1614470399999,37673192.06123400,88604,5194757.21000000,18914758.48055600,0
1614470400000,3.63450000,3.67300000,3.18670000,3.42570000,9958440.77000000,1614556799999,33577975.95022700,76649,4848107.61000000,16342063.51906600,0
1614556800000,3.42560000,3.68870000,3.38890000,3.63360000,6680178.96000000,1614643199999,23759209.52192100,57556,3318078.30000000,11805214.75793300,0
1614643200000,3.63360000,3.80570000,3.48520000,3.68980000,9486231.69000000,1614729599999,34558738.66434200,76329,4707516.87000000,17163904.42996200,0
1614729600000,3.68720000,4.00000000,3.66000000,3.84340000,10373092.73000000,1614815999999,40412211.45007500,89460,5216020.98000000,20316805.74827500,0
1614816000000,3.84350000,3.97090000,3.55930000,3.66320000,9116826.95000000,1614902399999,34304591.81899400,79193,4327358.21000000,16290114.33778100,0
1614902400000,3.66470000,3.86050000,3.44190000,3.76210000,8932358.25000000,1614988799999,33014476.68405900,72871,4426946.63000000,16373861.76233100,0
1614988800000,3.76310000,4.01430000,3.71170000,3.87200000,6604972.14000000,1615075199999,25567322.00076600,62101,3476982.66000000,13471779.68607700,0
1615075200000,3.87320000,4.20690000,3.82180000,4.19490000,7924104.33000000,1615161599999,31817191.38536200,85535,3967544.23000000,15943215.54474000,0
1615161600000,4.19150000,4.49000000,4.05270000,4.40000000,11278119.96000000,1615247999999,48295520.48750700,109733,5765856.64000000,24712994.54931100,0
1615248000000,4.40040000,4.58980000,4.33140000,4.46640000,8132954.24000000,1615334399999,36160639.78580700,80055,4259071.30000000,18929529.17342100,0
1615334400000,4.46740000,4.48050000,4.06290000,4.14390000,7360693.19000000,1615420799999,31177094.74989200,71914,3707404.37000000,15702624.33747400,0
1615420800000,4.14020000,4.19470000,3.94330000,4.12200000,5110514.18000000,1615507199999,20938502.56301200,51453,2404712.13000000,9855442.77335500,0
1615507200000,4.12150000,4.14510000,3.81110000,3.96910000,6531420.92000000,1615593599999,25977838.60346700,59677,3186729.57000000,12686697.41879900,0
1615593600000,3.96460000,4.23710000,3.80000000,4.16510000,5396030.55000000,1615679999999,21936029.05650800,58320,2660598.48000000,10815357.87557700,0
1615680000000,4.16540000,4.19170000,3.92480000,3.92480000,4589951.64000000,1615766399999,18603222.91103400,43059,2250657.58000000,9121897.98251800,0
1615766400000,3.93020000,4.05540000,3.73010000,3.83240000,5449164.36000000,1615852799999,21145773.49982600,58345,2571316.26000000,9977473.41477600,0
1615852800000,3.83140000,4.04970000,3.68600000,4.03910000,6229687.33000000,1615939199999,24479857.91770900,68809,3169975.84000000,12459769.33432700,0
1615939200000,4.04210000,4.45500000,3.84090000,4.41220000,11114359.64000000,1616025599999,46871807.34138000,117640,5429915.18000000,22867452.11565400,0
1616025600000,4.41220000,4.58000000,4.22500000,4.25940000,9312081.95000000,1616111999999,40589192.21174500,91171,4479182.97000000,19565913.45946800,0
