otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,2.13460000,2.94660000,2.00240000,2.76210000,93959849.93000000,1610323199999,233116698.04813100,913374,46657504.84000000,115939271.65014900,0
1610323200000,2.76260000,3.18380000,2.10100000,2.97140000,105412053.00000000,1610927999999,277976516.80472400,1077510,53290140.38000000,140699026.33353600,0
1610928000000,2.97160000,3.39900000,2.30000000,3.04490000,106568815.72000000,1611532799999,317966961.19895600,1141829,52162386.37000000,155900115.85714400,0
1611532800000,3.04310000,3.18320000,2.62680000,2.84440000,61797964.17000000,1612137599999,180460340.63363000,737297,30016281.59000000,87711153.34990600,0
1612137600000,2.84400000,3.52610000,2.75500000,3.30500000,84681157.41000000,1612742399999,264232041.08565600,877261,41070173.48000000,128428522.41074100,0
1612742400000,3.30740000,5.64710000,3.18590000,4.86260000,134495554.95000000,1613347199999,575739245.75260400,1471033,68065764.03000000,291667747.13148700,0
1613347200000,4.86310000,5.15100000,3.83700000,4.67590000,99421415.45000000,1613951999999,465728714.71630700,1374466,49435033.60000000,231896236.73301800,0
1613952000000,4.67500000,4.68560000,2.90130000,3.42570000,116572726.21000000,1614556799999,428023059.50036400,957651,58684908.85000000,215487010.24120200,0
1614556800000,3.42560000,4.20690000,3.38890000,4.19490000,59117765.05000000,1615161599999,223433741.52551900,523045,29440447.88000000,111364896.26709900,0
1615161600000,4.19150000,4.58980000,3.80000000,3.92480000,48399684.68000000,1615766399999,203088848.15722700,474211,24235030.07000000,101824544.11045500,0
1615766400000,3.93020000,4.61000000,3.68600000,4.17080000,50104374.96000000,1616371199999,210717399.15378600,534628,24488447.24000000,103001111.31863900,0
1616371200000,4.17080000,4.52710000,3.75000000,4.22990000,48119191.12000000,1616975999999,199235346.38673700,511501,24271877.26000000,100632401.20244900,0
1616976000000,4.22900000,5.41000000,4.18040000,5.13480000,65334533.18000000,1617580799999,318527297.65955400,735574,33380030.53000000,162741082.66871500,0
1617580800000,5.13230000,7.21000000,4.96580000,6.45160000,107927609.05000000,1618185599999,666992155.03021300,1343739,54756415.03000000,338279899.60099000,0
1618185600000,6.45180000,7.67450000,5.14710000,6.17600000,91668086.69000000,1618790399999,610532100.46284000,1444253,46118452.78000000,307686928.84180400,0
