otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,3.50300000,3.80000000,3.42200000,3.63700000,263445.56400000,1609545599999,942093.21637500,13093,120379.52800000,431602.27552500,0
1609545600000,3.63000000,3.80000000,3.48800000,3.66600000,354453.34400000,1609631999999,1288245.27988400,16715,191991.11300000,697924.70743800,0
1609632000000,3.66700000,3.75000000,3.46900000,3.52700000,441686.78500000,1609718399999,1584159.35413300,18848,210141.88300000,756655.02317600,0
1609718400000,3.52800000,4.04000000,3.35000000,3.60400000,597095.96600000,1609804799999,2209218.00145800,26480,291607.79300000,1084093.18557000,0
1609804800000,3.60000000,3.68100000,3.36500000,3.60000000,364914.27400000,1609891199999,1291107.08330600,14661,164662.94000000,584676.92171200,0
1609891200000,3.60900000,4.01000000,3.46600000,3.87800000,815325.89500000,1609977599999,3087828.02239100,29614,434165.93100000,1652396.24337500,0
1609977600000,3.87800000,4.51200000,3.70000000,4.06200000,843972.00100000,1610063999999,3403413.64798800,30769,395269.03100000,1608310.40948200,0
1610064000000,4.06900000,4.15400000,3.64400000,3.83900000,558291.33900000,1610150399999,2165869.07663200,22582,224461.21500000,877198.84766800,0
1610150400000,3.84600000,4.40000000,3.79000000,4.12100000,633366.46800000,1610236799999,2601318.38483800,25334,322902.58500000,1330554.42188900,0
1610236800000,4.11300000,5.49000000,4.11200000,4.98500000,1528190.78800000,1610323199999,7375813.30624500,57084,772736.08600000,3746689.09060600,0
1610323200000,4.98400000,5.87300000,4.00000000,5.07800000,1541506.64800000,1610409599999,7520309.72456800,61049,694993.74700000,3410848.66922600,0
1610409600000,5.07900000,5.13500000,4.33600000,4.54000000,524837.04100000,1610495999999,2487814.83595500,22579,252268.91100000,1195208.58399600,0
1610496000000,4.54200000,5.20100000,4.20000000,4.94400000,557837.79300000,1610582399999,2613385.39132300,26587,262836.53600000,1240904.13606200,0
1610582400000,4.94400000,5.55000000,3.60100000,4.31000000,6370659.28700000,1610668799999,27085274.17388100,142211,3147105.23800000,13407347.89945200,0
1610668800000,4.29800000,4.62600000,4.01000000,4.17900000,1516219.61600000,1610755199999,6422728.27451500,38954,704838.73500000,3002275.55506300,0
1610755200000,4.16600000,4.34600000,4.04000000,4.14600000,654398.87800000,1610841599999,2747546.07137900,20276,302495.03600000,1273545.54912900,0
