otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,3.37400000,3.43600000,3.00000000,3.04600000,175746.38700000,1609545599999,559422.29793700,5170,88686.63100000,282830.14412000,0
1609545600000,3.05900000,3.06700000,2.90000000,3.02600000,220527.68800000,1609631999999,657687.54826600,6352,81298.01600000,242798.74449200,0
1609632000000,3.02700000,3.09500000,2.85100000,2.87900000,194607.11200000,1609718399999,572136.76839800,5382,71821.22700000,211980.62725800,0
1609718400000,2.91000000,3.07900000,2.75000000,2.91600000,272030.84600000,1609804799999,792635.83033700,6386,152365.16300000,446399.26853400,0
1609804800000,2.93400000,3.05900000,2.80000000,2.96500000,195561.53100000,1609891199999,580122.20528300,4553,96831.37200000,288101.11277700,0
1609891200000,2.94900000,3.20600000,2.93100000,3.14400000,220912.37600000,1609977599999,682514.67926000,7394,121186.83600000,374984.41489500,0
1609977600000,3.15500000,4.04600000,3.11000000,3.44800000,409000.05800000,1610063999999,1401497.54033600,11991,214079.17900000,742267.08012000,0
1610064000000,3.44900000,4.00000000,3.11000000,3.81100000,595281.32000000,1610150399999,2167479.40433300,16392,307504.40900000,1122013.28246200,0
1610150400000,3.82700000,4.07600000,3.51200000,3.99700000,281505.29200000,1610236799999,1059856.50102300,9534,124382.25000000,469097.69557700,0
1610236800000,3.99600000,4.74000000,3.77700000,4.13800000,760753.13600000,1610323199999,3189779.10073600,21316,367520.14100000,1552400.05539500,0
1610323200000,4.12800000,4.70000000,3.49000000,3.96400000,673634.30700000,1610409599999,2722816.41772700,17491,306567.29700000,1246687.88236200,0
1610409600000,3.97200000,4.38600000,3.70000000,3.77100000,303375.32400000,1610495999999,1214780.48204300,10615,142679.05700000,569873.62548400,0
1610496000000,3.77200000,4.51000000,3.66600000,4.21800000,251491.85400000,1610582399999,1004360.11195200,8723,134064.94100000,541614.51795700,0
1610582400000,4.21800000,4.30300000,3.86400000,4.00400000,207167.62300000,1610668799999,842659.48742100,6930,92446.03500000,378374.63454900,0
1610668800000,4.02800000,4.31000000,3.71000000,4.04400000,383180.23300000,1610755199999,1528169.40979200,11261,170242.01100000,681516.08147400,0
1610755200000,4.04500000,4.72900000,3.90000000,4.65700000,377590.10100000,1610841599999,1617697.94058300,10687,181505.32100000,782957.82339000,0
1610841600000,4.62200000,6.97900000,4.33000000,6.26100000,1530140.92100000,1610927999999,8731531.05099100,45249,762305.88200000,4355369.82852100,0
1610928000000,6.28700000,9.67700000,5.69500000,6.30100000,1817262.86000000,1611014399999,13582991.45298000,58144,891102.35900000,6706694.23038000,0
1611014400000,6.30100000,6.66400000,5.24000000,5.44500000,2206024.76900000,1611100799999,12836077.78896800,44793,1296480.36100000,7563497.31599000,0
1611100800000,5.44000000,5.49000000,4.64400000,5.10000000,901454.60400000,1611187199999,4478916.68060500,24261,363866.18100000,1813867.56013900,0
1611187200000,5.10100000,5.19600000,4.11700000,4.22000000,381304.66300000,1611273599999,1777622.79907600,10444,158150.51800000,740890.09001600,0
1611273600000,4.22000000,4.57300000,3.90000000,4.28000000,326491.37200000,1611359999999,1385910.78587600,8821,140708.74200000,599448.47843600,0
1611360000000,4.25800000,4.60700000,4.21000000,4.32600000,194421.77400000,1611446399999,861258.22781300,6263,81444.79700000,361815.89701100,0
1611446400000,4.34700000,4.46800000,4.17000000,4.34800000,201677.77500000,1611532799999,871410.81924200,6426,87800.88500000,379190.73858800,0
1611532800000,4.34700000,4.48100000,4.28400000,4.44600000,44584.57200000,1611539999999,196000.31809500,1155,18920.22700000,83286.82124200,0
