otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,15.90700000,28.75900000,10.60100000,15.67000000,4214269.18000000,1610323199999,78771006.56105000,156672,2185225.69000000,40823862.46124000,0
1610323200000,15.67500000,17.87800000,7.57900000,15.16000000,4539656.29000000,1610927999999,57181975.35946000,154386,2364004.99000000,29897443.16025000,0
1610928000000,15.16000000,21.75500000,6.35000000,10.29800000,3916782.53000000,1611532799999,46764719.36293000,122367,1952424.04000000,23462957.24201000,0
1611532800000,10.33500000,11.12000000,6.70000000,7.67500000,4383476.74000000,1612137599999,37576187.93136000,90879,2219750.35000000,19116743.69435000,0
1612137600000,7.65800000,11.34800000,5.88900000,6.85600000,7386065.47000000,1612742399999,60625218.40815000,164452,3723513.14000000,30862986.10343000,0
1612742400000,6.85600000,19.55000000,6.51300000,12.37300000,11083187.87000000,1613347199999,126127662.74673000,263188,5908473.65000000,67513273.45424000,0
1613347200000,12.39000000,13.95000000,9.00000000,11.00300000,4870113.29000000,1613951999999,57524136.67132000,151519,2464656.19000000,29101353.72740000,0
1613952000000,11.02900000,11.07000000,3.99800000,5.10900000,5995518.52000000,1614556799999,38466215.36649000,149683,3029338.49000000,19549684.74868000,0
1614556800000,5.16800000,7.78500000,4.79500000,7.75900000,3706728.76000000,1615161599999,22628769.58617000,112168,1812565.93000000,11060521.49686000,0
1615161600000,7.76200000,8.75400000,5.83400000,6.11800000,3430105.42000000,1615766399999,24777818.31279000,113315,1786371.17000000,13045341.19803000,0
1615766400000,6.10700000,6.57700000,5.07200000,5.66900000,3003669.35000000,1616371199999,17540654.67901000,114224,1435891.66000000,8384779.91361000,0
1616371200000,5.66700000,5.87100000,3.73500000,4.49600000,2996588.30000000,1616975999999,13880961.50155000,69124,1446561.42000000,6720299.37274000,0
1616976000000,4.50000000,6.50000000,4.39200000,5.38600000,4103512.46000000,1617580799999,22244198.28369000,130103,1984433.53000000,10757118.55074000,0
1617580800000,5.38800000,9.21600000,4.84000000,7.60600000,6145981.47000000,1618185599999,42706834.00596000,149573,3210082.92000000,22243690.14020000,0
1618185600000,7.59700000,9.87000000,4.22300000,8.82200000,8724062.18000000,1618790399999,66714559.09117000,206739,4395792.87000000,34126821.54916000,0
1618790400000,8.81600000,10.22900000,4.04000000,4.47600000,7215891.32000000,1619395199999,45672598.15684000,130114,3732608.78000000,23735706.76465000,0
1619395200000,4.53700000,6.94000000,4.43000000,6.37600000,2620102.93000000,1619999999999,15998905.70738000,57910,1366043.84000000,8361338.03307000,0
1620000000000,6.38100000,8.81900000,6.38100000,7.49100000,2809394.66000000,1620604799999,21032185.13028000,80878,1415146.53000000,10606323.84419000,0
