otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,22707.02000000,23450.00000000,21519.26000000,21845.15000000,1057.84829200,1609545599999,23628821.31612225,45850,497.03020400,11113072.70097748,0
1609545600000,21870.70000000,22339.00000000,21261.77000000,21477.83000000,1340.29405900,1609631999999,29187519.52276468,62258,633.54651700,13802522.82571504,0
1609632000000,21489.56000000,24989.00000000,20382.88000000,23879.16000000,3595.00237000,1609718399999,81737305.86453293,144816,1828.05067100,41648345.69405663,0
1609718400000,23883.05000000,26750.00000000,22000.00000000,23387.84000000,3555.01314800,1609804799999,86108244.82572120,164868,1727.91602600,41855512.11530558,0
1609804800000,23395.09000000,24956.40000000,22050.00000000,23731.87000000,2151.37634000,1609891199999,50401504.99536321,95580,1018.25801800,23898131.20449015,0
1609891200000,23725.97000000,25550.00000000,22565.97000000,24742.87000000,1951.42227800,1609977599999,46807385.16325573,88717,977.14993300,23417697.59050381,0
1609977600000,24798.10000000,37185.00000000,24086.31000000,33057.95000000,8857.59764100,1610063999999,281807985.36785313,391365,4600.71732900,146499311.48660730,0
1610064000000,33077.50000000,38557.10000000,24513.00000000,34908.59000000,7858.95303400,1610150399999,259509552.11329206,392507,3942.68161000,130389441.43648773,0
1610150400000,34908.60000000,39939.23000000,33504.96000000,35735.60000000,4870.79847300,1610236799999,180883968.52981814,253134,2409.06690100,89524270.10426588,0
1610236800000,35735.61000000,38228.53000000,31053.06000000,33982.73000000,3454.99973100,1610323199999,120948054.33914963,182135,1697.71712200,59669540.62685921,0
1610323200000,33966.46000000,34050.86000000,25250.00000000,30102.88000000,5926.92066700,1610409599999,173732234.22263435,282851,2872.51458100,84223320.72165931,0
1610409600000,30102.89000000,32373.00000000,28108.00000000,29743.08000000,3419.76496600,1610495999999,103889918.25872840,153419,1703.75427900,51818562.59189880,0
1610496000000,29758.73000000,33887.59000000,28208.58000000,33599.65000000,3511.82368100,1610582399999,110322529.69221664,165399,1747.41849600,54975028.02172162,0
1610582400000,33576.09000000,34260.00000000,31180.00000000,32924.52000000,2436.45312400,1610668799999,80132582.67424214,129501,1201.58376400,39579043.41393825,0
1610668800000,32920.08000000,33668.36000000,28445.56000000,30205.26000000,2630.93018700,1610755199999,82346100.26031293,146551,1265.38445300,39661921.15183839,0
1610755200000,30189.87000000,35200.00000000,30188.23000000,33823.09000000,3518.23758500,1610841599999,116914548.52769581,184880,1778.51608000,59142580.11060341,0
1610841600000,33800.50000000,36863.97000000,32308.97000000,34544.73000000,3120.14928700,1610927999999,108296039.03316187,178119,1580.08279000,54874318.28035854,0
1610928000000,34537.91000000,40333.87000000,34524.92000000,37994.33000000,3854.51329900,1611014399999,146811128.35599179,214577,1938.04425600,73813511.07521777,0
1611014400000,37983.79000000,38532.08000000,33770.85000000,34365.15000000,2179.77647700,1611100799999,79781490.48757047,128420,973.12818400,35593699.07985723,0
1611100800000,34375.11000000,35485.41000000,31211.60000000,34040.18000000,1918.94230000,1611187199999,64210680.12757959,115081,938.76518800,31422561.38601739,0
1611187200000,34002.52000000,34239.75000000,26378.42000000,27938.25000000,2296.29895000,1611273599999,70186042.57841785,140794,1031.15541200,31481247.82996213,0
1611273600000,27902.25000000,32147.32000000,26013.00000000,30780.00000000,2032.04270100,1611359999999,60743744.73307999,119079,1038.78874600,31084901.43187317,0
1611360000000,30783.75000000,31619.21000000,29653.00000000,30560.03000000,1318.76667000,1611446399999,40362659.97845430,79204,650.64072700,19926881.44940114,0
1611446400000,30575.83000000,33000.00000000,30233.13000000,32200.52000000,1308.84906900,1611532799999,41808071.23694734,75522,652.96525000,20857269.67805482,0
1611532800000,32195.81000000,33308.37000000,29243.85000000,29311.96000000,1446.76620100,1611619199999,45467839.69476435,78206,642.92109000,20260242.29003448,0
1611619200000,29325.31000000,30679.98000000,28426.00000000,30298.17000000,1455.32246100,1611705599999,42994076.92392217,75624,725.22174800,21445433.45143132,0
1611705600000,30281.50000000,30346.32000000,26960.40000000,27617.41000000,1345.49237000,1611791999999,38190197.56536804,73186,596.62023100,16918983.11614484,0
1611792000000,27633.83000000,30732.09000000,27300.00000000,29664.06000000,982.73742100,1611878399999,28795465.11641125,63896,490.11026900,14366735.75989645,0
1611878400000,29662.56000000,31876.87000000,28496.37000000,29974.10000000,1490.68607600,1611964799999,44857435.99902582,86016,695.53962000,20929431.27248906,0
1611964800000,29924.83000000,32342.77000000,28500.00000000,31150.11000000,1457.51529200,1612051199999,44786602.35256850,84955,700.93801800,21526399.47727145,0
1612051200000,31200.38000000,33500.00000000,29500.00000000,30114.54000000,1460.79985200,1612137599999,45849399.19021047,93208,710.82463200,22371186.42383386,0
1612137600000,30158.47000000,31167.16000000,29247.43000000,31166.45000000,850.12108400,1612223999999,25631769.51248086,53478,398.43896700,12022757.39582505,0
1612224000000,31139.81000000,32700.00000000,30382.60000000,31690.62000000,1161.42526900,1612310399999,36416023.68316381,77588,593.77966000,18632300.36080465,0
1612310400000,31697.58000000,34678.57000000,31697.52000000,34095.50000000,1740.39706900,1612396799999,58059808.61031507,125912,899.47024000,30044340.50706037,0
1612396800000,34089.30000000,34985.72000000,29574.81000000,31098.22000000,2504.53405800,1612483199999,81310509.58924050,161474,1227.75443500,39940586.95507427,0
1612483200000,31053.87000000,34000.00000000,30400.00000000,32447.80000000,2249.50516100,1612569599999,72580618.46749474,132305,1122.28868300,36208872.57664825,0
1612569600000,32451.24000000,33259.27000000,30625.77000000,31542.61000000,1188.86907100,1612655999999,37739349.88573214,80928,557.88679700,17726272.34701457,0
1612656000000,31561.22000000,31928.77000000,29151.03000000,30866.54000000,800.55007900,1612742399999,24497016.48074799,58832,386.71609300,11833973.47964329,0
1612742400000,30866.61000000,33729.65000000,30243.85000000,32500.00000000,1400.12695000,1612828799999,44972746.88908175,80652,716.86050300,23029643.02369917,0
1612828800000,32526.59000000,35706.00000000,31500.01000000,35214.33000000,2257.12504200,1612915199999,74610300.17631666,123696,1149.44239000,38025286.93537150,0
1612915200000,35216.34000000,39200.00000000,33000.33000000,36353.03000000,3838.10698000,1613001599999,139424684.00364059,234486,1958.73781500,71202972.67765455,0
1613001600000,36387.40000000,45900.00000000,34915.00000000,43831.19000000,4968.64656300,1613087999999,207954329.29586641,274973,2594.37477300,108568318.61268829,0
1613088000000,43833.00000000,52880.00000000,43630.75000000,47007.10000000,4047.63447100,1613174399999,194227567.24598579,240554,2104.87186700,100938192.89834394,0
1613174400000,47007.10000000,48800.00000000,43500.00000000,47157.24000000,2055.80139400,1613260799999,94565872.79950849,138544,1017.09270700,46819189.25351534,0
1613260800000,47140.22000000,47509.04000000,42850.00000000,43369.16000000,1406.53630400,1613347199999,63240720.84343334,91821,658.31282200,29623668.81350079,0
1613347200000,43394.53000000,44211.14000000,38010.00000000,40273.62000000,1959.92356600,1613433599999,80856971.24703730,143779,928.93194700,38313224.25610790,0
1613433600000,40273.62000000,45400.00000000,39038.33000000,42977.36000000,1932.87624800,1613519999999,82507512.28714617,135033,972.02950700,41583674.07497455,0
1613520000000,42966.10000000,44422.54000000,40005.05000000,43781.87000000,1357.79389200,1613606399999,57396457.69438174,89423,637.95448100,26989086.08397674,0
1613606400000,43781.87000000,46249.66000000,42682.77000000,44278.54000000,1118.02528700,1613692799999,49609357.45950887,82263,574.78484500,25531426.93343652,0
1613692800000,44266.66000000,45650.00000000,41805.73000000,44711.81000000,1503.83199100,1613779199999,66199317.01128376,101604,737.40374300,32459955.40074811,0
1613779200000,44711.81000000,48078.09000000,39100.00000000,42251.78000000,2251.66287800,1613865599999,101377010.56327338,162616,1164.25910000,52566454.05508222,0
