otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,23883.05000000,39939.23000000,22000.00000000,33982.73000000,32700.16064500,1610323199999,1026466695.33445310,1568306,16373.50693900,515253904.56451966,0
1610323200000,33966.46000000,36863.97000000,25250.00000000,34544.73000000,24564.27949700,1610927999999,775633952.66899214,1240720,12149.25444300,384274774.29201832,0
1610928000000,34537.91000000,40333.87000000,26013.00000000,32200.52000000,14909.18946600,1611532799999,503903817.49804133,872677,7223.48776300,244180071.93038365,0
1611532800000,32195.81000000,33500.00000000,26960.40000000,30114.54000000,9639.31967300,1612137599999,290941016.84227060,555091,4562.17560800,137818411.79110146,0
1612137600000,30158.47000000,34985.72000000,29151.03000000,30866.54000000,10495.40179100,1612742399999,336235096.22917511,690517,5186.33487500,166409103.62207045,0
1612742400000,30866.61000000,52880.00000000,30243.85000000,43369.16000000,19973.97770400,1613347199999,818996221.25383303,1184726,10199.69287700,418207272.21477358,0
1613347200000,43394.53000000,48078.09000000,38010.00000000,43097.20000000,11267.18557100,1613951999999,487203148.31361720,811953,5546.80117900,240365851.70587506,0
1613952000000,43097.20000000,43196.85000000,27437.73000000,30722.16000000,10801.69323400,1614556799999,370135516.37012761,731169,5308.41338400,181723490.53770398,0
1614556800000,30760.73000000,39313.86000000,30022.42000000,39133.02000000,5404.51375600,1615161599999,183709562.69270220,382432,2874.19092800,97866024.38587935,0
1615161600000,39141.42000000,42450.00000000,34832.27000000,35827.51000000,6083.62728300,1615766399999,233783053.53521453,457867,3017.17954500,115918808.96865553,0
1615766400000,35814.81000000,37538.02000000,33150.51000000,35345.55000000,3987.57650200,1616371199999,141440412.80448687,304597,1927.66862800,68437624.03386388,0
1616371200000,35332.32000000,35921.61000000,29784.47000000,32608.04000000,3276.05569500,1616975999999,107461899.86709600,276672,1645.98375000,53974087.74029083,0
1616976000000,32614.78000000,39999.00000000,32343.78000000,37589.82000000,4557.07874700,1617580799999,166512164.50780072,411198,2312.39013000,84574917.30657158,0
1617580800000,37575.89000000,49050.00000000,35972.18000000,45024.95000000,7809.05553400,1618185599999,338455409.41149801,784249,4039.10883600,174634201.38343115,0
1618185600000,45024.95000000,54500.00000000,41655.56000000,53464.77000000,9705.95671200,1618790399999,464711128.28854667,990137,4858.45522000,233138052.80252975,0
1618790400000,53427.48000000,57497.60000000,37644.79000000,39759.10000000,9098.72253300,1619395199999,428603586.70711976,824455,4541.93801300,214403218.79338813,0
1619395200000,39795.00000000,50639.11000000,39509.35000000,48513.34000000,4062.03870400,1619999999999,191175561.64409207,385221,2030.24164900,95594751.45994801,0
1620000000000,48516.39000000,57878.25000000,48479.53000000,53360.52000000,5872.43727700,1620604799999,310782068.46467285,587966,2988.01542000,158094734.51578388,0
1620604800000,53360.60000000,95000.00000000,49600.00000000,65807.68000000,20485.80301300,1621209599999,1469545407.24987894,2163318,10371.59449200,744144619.08187458,0
1621209600000,65850.35000000,77821.98000000,23859.75000000,32549.68000000,17946.38215500,1621814399999,881211079.55877047,1559466,9046.23795000,445581653.82803946,0
1621814400000,32583.91000000,51963.20000000,31848.00000000,41883.70000000,12128.98745600,1622419199999,541798186.90863663,978416,6115.05015500,273530201.29999453,0
1622419200000,41823.92000000,47786.62000000,40000.00000000,43072.75000000,5446.46227900,1623023999999,241159597.86487973,411023,2743.34803500,121541854.62245678,0
1623024000000,43072.76000000,44300.00000000,34601.53000000,38527.58000000,3927.10529300,1623628799999,152460384.29084752,296832,1929.32963600,74963109.74845306,0
1623628800000,38533.56000000,40455.47000000,32513.10000000,36012.15000000,2720.20877500,1624233599999,99177756.32609032,212309,1357.93446800,49580408.11455934,0
1624233600000,36039.24000000,36264.07000000,25000.00000000,30273.17000000,5093.53244600,1624838399999,151016636.53589911,372677,2429.35826600,72148827.96163724,0
1624838400000,30273.17000000,34850.00000000,29784.28000000,33394.00000000,3679.31236300,1625443199999,119722457.17168442,281418,1830.08157300,59578847.87007253,0
1625443200000,33394.00000000,37783.66000000,31000.00000000,33826.33000000,3965.06846700,1626047999999,136638867.75947966,303254,2056.73041700,70847521.02891600,0
1626048000000,33827.64000000,34388.00000000,27013.84000000,27959.51000000,2732.83248400,1626652799999,82486308.28956247,191064,1351.28628200,40855998.92431114,0
1626652800000,27965.89000000,30268.69000000,24800.00000000,29945.19000000,2517.48640200,1627257599999,70525748.29356899,176813,1268.11538000,35572055.52054223,0
1627257600000,29971.88000000,33990.00000000,28779.52000000,31682.42000000,4058.58808100,1627862399999,126805299.75679354,298564,2034.89665100,63582046.43579416,0
1627862400000,31679.73000000,35070.63000000,30568.63000000,32720.78000000,3780.64473800,1628467199999,124376346.92727935,307236,1981.09631000,65200765.61710077,0
1628467200000,32738.77000000,45000.00000000,31800.00000000,39818.47000000,4746.90335300,1629071999999,177607449.05949492,447230,2391.53550700,89598761.17325906,0
1629072000000,39850.50000000,41993.57000000,36108.37000000,39476.06000000,3918.17464400,1629676799999,154294322.22113684,384036,1943.32224900,76624891.92211235,0
1629676800000,39500.70000000,40651.18000000,35167.10000000,37472.05000000,2673.00679600,1630281599999,101554229.70043818,265950,1335.71066900,50773595.34948934,0
