otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,59.35000000,98.67000000,56.62000000,96.37000000,5061941.99373000,1610323199999,381027615.43081850,991422,2563761.67612000,193437296.46660430,0
1610323200000,96.45000000,120.69000000,77.59000000,102.25000000,7590110.79671000,1610927999999,755211538.98313330,1367772,3779732.34356000,376334701.75749740,0
1610928000000,102.15000000,113.17000000,76.13000000,90.00000000,2617982.83336000,1611532799999,248553981.37631180,536461,1306487.58263000,124069153.53991030,0
1611532800000,89.98000000,96.46000000,76.33000000,85.65000000,2221797.53752000,1612137599999,191265745.43647310,635088,1087836.42591000,93695577.39188970,0
1612137600000,85.58000000,98.95000000,84.07000000,92.30000000,2120698.84666000,1612742399999,196411412.62863080,547360,1035996.02427000,95965759.21550550,0
1612742400000,92.32000000,190.64000000,91.09000000,156.33000000,4579769.03818000,1613347199999,627935576.12685420,1167442,2322061.54842000,318794181.05186320,0
1613347200000,156.20000000,190.00000000,124.60000000,161.87000000,3880920.27151000,1613951999999,638803242.80729230,1049062,1907294.37274000,314280920.28015810,0
1613952000000,161.84000000,162.91000000,103.47000000,111.31000000,3451710.04519000,1614556799999,442647097.24191610,778767,1690342.54887000,216681803.64104230,0
1614556800000,111.33000000,130.93000000,110.09000000,130.08000000,1607815.07495000,1615161599999,196298317.69344500,435481,801868.44296000,97920859.84091090,0
1615161600000,130.08000000,160.00000000,124.36000000,143.18000000,1690361.70950000,1615766399999,243026284.93507770,552536,832017.34412000,119497684.83466570,0
1615766400000,143.14000000,161.20000000,130.05000000,148.18000000,1245848.19565000,1616371199999,181063184.91940150,438583,605464.57296000,88037133.66920000,0
1616371200000,148.18000000,149.70000000,116.16000000,144.87000000,1446361.04131000,1616975999999,193097867.91245200,539691,709788.28528000,94718850.43507600,0
1616976000000,144.84000000,195.00000000,141.84000000,187.14000000,2751091.03427000,1617580799999,456772378.42210320,1043798,1365245.88247000,227047834.49287130,0
1617580800000,187.13000000,231.89000000,162.34000000,222.31000000,2489884.08957000,1618185599999,484511814.43860880,1020702,1264910.84089000,246355870.10188870,0
1618185600000,222.27000000,299.13000000,186.43000000,260.05000000,3687499.14255000,1618790399999,896432204.24208760,1643309,1867445.02640000,454768237.39820080,0
1618790400000,260.04000000,265.78000000,167.00000000,202.31000000,3037087.41380000,1619395199999,680344064.43677890,1583118,1501090.07817000,336845386.62192790,0
1619395200000,202.29000000,259.34000000,200.08000000,243.30000000,1584221.51782000,1619999999999,372635727.70254270,861371,802343.49009000,188686640.49854780,0
1620000000000,243.27000000,343.80000000,230.32000000,305.40000000,3355802.81518000,1620604799999,964005465.00500410,1578055,1733518.62722000,498145719.97107290,0
1620604800000,305.48000000,372.00000000,245.63000000,262.40000000,4576352.72332000,1621209599999,1413924666.08881490,2765847,2291903.39331000,709728015.23976900,0
1621209600000,262.25000000,262.95000000,87.08000000,114.32000000,6037243.76392000,1621814399999,1014831042.98383110,2941330,2987502.95485000,502424668.00676160,0
1621814400000,114.53000000,186.86000000,114.40000000,149.84000000,4415082.11002000,1622419199999,661137453.26633030,1554274,2229506.74641000,334128584.82734700,0
1622419200000,149.87000000,175.15000000,140.85000000,149.63000000,1998526.08425000,1623023999999,312980994.32247810,1154867,992304.13196000,155529030.30270580,0
1623024000000,149.62000000,154.90000000,118.77000000,133.06000000,1770395.53404000,1623628799999,236710990.44538690,635332,886324.06633000,118457826.98107380,0
1623628800000,133.04000000,146.72000000,119.47000000,131.81000000,1308834.78744000,1624233599999,177239856.24659650,788826,672592.92688000,91139939.62681100,0
1624233600000,131.82000000,133.18000000,86.27000000,107.71000000,2560804.22741000,1624838399999,271935110.67014780,766843,1268918.11476000,134868583.60295650,0
1624838400000,107.71000000,133.22000000,104.58000000,120.25000000,1685994.59508000,1625443199999,202151663.04273460,794070,840032.39925000,100724013.47786570,0
1625443200000,120.28000000,122.20000000,105.14000000,110.84000000,1257800.01768000,1626047999999,142472512.77758580,384445,619439.97146000,70156684.85306860,0
1626048000000,110.86000000,112.99000000,91.84000000,93.95000000,1417927.18856000,1626652799999,142098188.13544490,545273,701127.21385000,70288528.77254930,0
1626652800000,93.94000000,102.69000000,83.02000000,100.44000000,1788688.34188000,1627257599999,166750592.00390500,529416,907786.73308000,84739608.42395890,0
1627257600000,100.42000000,123.54000000,97.99000000,115.53000000,1609517.74685000,1627862399999,173230846.23769630,679199,811389.51366000,87372486.26382010,0
1627862400000,115.54000000,136.30000000,109.26000000,123.48000000,1382112.36524000,1628467199999,168137448.23237160,582334,689626.81946000,83873783.83410560,0
1628467200000,123.46000000,156.34000000,118.68000000,154.82000000,1443583.72610000,1629071999999,198168338.21262390,776566,728393.71157000,100132602.32241490,0
1629072000000,154.82000000,161.60000000,134.97000000,160.54000000,1670689.65936000,1629676799999,249872483.59696600,780925,836032.83958000,125105178.44808590,0
1629676800000,160.55000000,170.99000000,139.70000000,148.30000000,1541897.56459000,1630281599999,239083595.32676100,687113,777567.77254000,120709421.01163310,0
1630281600000,148.40000000,175.80000000,138.99000000,172.80000000,1315980.42516000,1630886399999,202851980.64961980,558965,658097.93182000,101486139.01562360,0
1630886400000,172.90000000,175.90000000,117.90000000,131.30000000,2281933.10105000,1631491199999,320819475.31147200,765087,1112638.07676000,156328448.02269960,0
1631491200000,131.30000000,146.60000000,120.80000000,133.60000000,1361999.85700000,1632095999999,183124787.12350000,469098,681163.67400000,91590022.32030000,0
1632096000000,133.60000000,134.00000000,101.90000000,111.20000000,1850423.48230000,1632700799999,212680127.75457920,499984,915256.42673000,105164063.60269000,0
1632700800000,111.10000000,119.40000000,100.20000000,118.70000000,1285056.18088000,1633305599999,141087740.38607400,302927,654102.43400000,71908359.41420000,0
1633305600000,118.70000000,129.60000000,112.50000000,119.50000000,1369654.27500000,1633910399999,168343366.14790000,384710,716503.73100000,88204489.55980000,0
1633910400000,119.40000000,141.00000000,111.40000000,137.70000000,1395902.59500000,1634515199999,172265238.19280000,387998,712806.74000000,88141616.44710000,0
1634515200000,137.80000000,190.40000000,135.10000000,173.00000000,2850186.58964000,1635119999999,456186716.69570190,1085317,1476624.44396000,236180878.76378190,0
1635120000000,172.90000000,188.00000000,142.30000000,167.00000000,2230770.00800000,1635724799999,365047850.70250000,999894,1107970.24600000,181327433.76080000,0
1635724800000,167.20000000,180.00000000,155.30000000,164.10000000,1427148.04800000,1636329599999,237592149.56100000,654736,713254.63000000,118743565.03900000,0
1636329600000,164.10000000,219.90000000,163.50000000,201.80000000,3148990.47555000,1636934399999,616572510.22112010,1690882,1595032.64484000,312407558.00239010,0
1636934400000,201.80000000,234.20000000,141.20000000,229.40000000,4523651.98210000,1637539199999,813602037.23951720,1878084,2234054.37565000,403076107.61220220,0
1637539200000,229.60000000,305.00000000,195.30000000,241.20000000,5321156.49250000,1638143999999,1305700655.73474570,3120514,2698086.96150000,662351641.85223970,0
1638144000000,241.10000000,254.90000000,141.90000000,182.60000000,4060663.26500000,1638748799999,847821525.69050000,1978399,2062422.28400000,431586282.20380000,0
1638748800000,182.70000000,184.80000000,160.00000000,180.20000000,655691.44500000,1639353599999,113607633.27410000,269218,321423.38800000,55736048.01620000,0
