otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,11.56900000,14.64900000,11.30100000,11.74000000,853203.32200000,1609545599999,11000406.50977200,62493,426339.22200000,5511561.13244500,0
1609545600000,11.77200000,12.54100000,11.24000000,11.70400000,378355.83900000,1609631999999,4428786.52042200,30383,178918.24100000,2096119.94586900,0
1609632000000,11.77500000,14.71300000,11.56600000,13.53000000,527536.09000000,1609718399999,7253240.24626900,47090,286376.90600000,3938253.78610700,0
1609718400000,13.53100000,15.20000000,11.60200000,13.46100000,429982.40400000,1609804799999,5627225.18356100,37692,214616.28000000,2821357.86745000,0
1609804800000,13.48800000,14.89900000,12.74700000,14.37200000,301440.95000000,1609891199999,4111890.71150100,28646,150117.49300000,2056161.00627800,0
1609891200000,14.39900000,16.57600000,13.53700000,16.04700000,447730.61100000,1609977599999,6813657.98340500,39926,242291.32600000,3711686.92250600,0
1609977600000,16.04800000,16.19800000,13.59000000,14.59200000,263743.69000000,1610063999999,3999559.09872900,26052,124629.12500000,1893073.67242500,0
1610064000000,14.61800000,14.88000000,13.20000000,14.48100000,190980.29400000,1610150399999,2705620.23777700,18912,93599.74000000,1331616.71250000,0
1610150400000,14.48000000,15.99700000,13.97600000,15.69700000,189088.39900000,1610236799999,2911536.61880700,19097,110764.59600000,1706640.35367000,0
1610236800000,15.73500000,23.88800000,14.89100000,21.85900000,1828546.75000000,1610323199999,37684679.16434500,134918,951404.36900000,19590811.03251400,0
1610323200000,21.88200000,29.61400000,17.21100000,24.03400000,3683730.34800000,1610409599999,87823359.20873700,269027,1877683.13400000,44918486.01127400,0
1610409600000,24.03500000,31.00000000,22.50000000,27.00400000,2048411.44900000,1610495999999,55895009.69503500,156402,1044422.62400000,28568548.15753700,0
1610496000000,27.00600000,28.32000000,23.90000000,26.89000000,1051834.24200000,1610582399999,26984929.56334900,96357,563242.36300000,14459613.21014900,0
