otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.08257000,0.08900000,0.07723000,0.07887000,580732126.20000000,1609545599999,48556057.43669700,129547,293852358.20000000,24591475.53383700,0
1609545600000,0.07896000,0.08128000,0.07026000,0.07219000,494851911.10000000,1609631999999,38097154.60088800,103901,250744555.10000000,19321628.15388800,0
1609632000000,0.07219000,0.07689000,0.06330000,0.06763000,971917210.90000000,1609718399999,68094924.94106400,164370,483276044.40000000,33925433.61868000,0
1609718400000,0.06766000,0.07800000,0.06685000,0.06998000,730857823.20000000,1609804799999,52248852.71626900,153269,356375525.00000000,25474321.95938500,0
1609804800000,0.06998000,0.07495000,0.06517000,0.07023000,556215920.40000000,1609891199999,39221421.13391000,108903,285350556.60000000,20133198.03755700,0
1609891200000,0.07026000,0.08500000,0.06956000,0.07772000,812528626.60000000,1609977599999,64472681.43734300,179244,423190319.40000000,33547779.74137500,0
1609977600000,0.07776000,0.08479000,0.07070000,0.07581000,696858168.10000000,1610063999999,55620443.43022700,159777,347044538.20000000,27728290.02712900,0
1610064000000,0.07584000,0.07750000,0.06800000,0.07337000,398774074.60000000,1610150399999,29273456.23843700,97278,203247702.20000000,14943201.58580700,0
1610150400000,0.07322000,0.08000000,0.07100000,0.07587000,319075245.10000000,1610236799999,24008921.93192100,76724,162157586.40000000,12205252.66494100,0
1610236800000,0.07589000,0.08310000,0.06684000,0.07285000,463354814.10000000,1610323199999,35428375.51481900,113719,230049930.00000000,17649789.34344600,0
1610323200000,0.07284000,0.07326000,0.05131000,0.06481000,896752163.80000000,1610409599999,54157885.57259800,155817,467770748.70000000,28204221.78638100,0
1610409600000,0.06498000,0.07100000,0.05807000,0.06197000,454342552.10000000,1610495999999,29038783.94898300,86805,231785612.90000000,14808277.97254900,0
1610496000000,0.06196000,0.07228000,0.05872000,0.07035000,373479935.20000000,1610582399999,24580787.36406000,74896,190509622.20000000,12544511.54216100,0
