otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.06690000,0.09630000,0.06330000,0.08550000,98012205.51000000,1610323199999,7827791.03372600,77392,45666407.50000000,3668756.05121000,0
1610323200000,0.08550000,0.09420000,0.06450000,0.08640000,74951652.16000000,1610927999999,5931464.13029700,56394,34634609.16000000,2766898.60324800,0
1610928000000,0.08640000,0.10450000,0.07490000,0.07910000,162688885.00000000,1611532799999,14270334.07011400,118272,72122610.35000000,6366873.96116100,0
1611532800000,0.07920000,0.08220000,0.06430000,0.07230000,153906370.44000000,1612137599999,11131137.17896400,99895,66902877.99000000,4850895.83704700,0
1612137600000,0.07210000,0.09000000,0.07020000,0.08130000,174578767.28000000,1612742399999,13991291.93057500,124656,82307325.47000000,6616576.70106600,0
1612742400000,0.08160000,0.14940000,0.08010000,0.13530000,342898274.72000000,1613347199999,39273700.04010500,271037,166018037.05000000,19030534.28065600,0
1613347200000,0.13580000,0.23900000,0.11520000,0.22000000,462370350.27000000,1613951999999,80228501.01036500,397127,233501652.70000000,40737415.58412000,0
1613952000000,0.21990000,0.26800000,0.13400000,0.16870000,735961296.59000000,1614556799999,146330140.47178700,598416,354828928.31000000,70840505.30180600,0
1614556800000,0.16920000,0.20000000,0.15790000,0.16580000,226212847.60000000,1615161599999,40638035.10487000,250501,104184104.79000000,18756340.36413000,0
1615161600000,0.16570000,0.32000000,0.16330000,0.28380000,444385076.49000000,1615766399999,103324505.58897300,503991,215952872.31000000,50465201.89953700,0
1615766400000,0.28380000,0.31900000,0.23790000,0.25070000,300151496.62000000,1616371199999,81810497.65546200,391964,145605381.99000000,39763523.57889100,0
1616371200000,0.25020000,0.31340000,0.22770000,0.29490000,373392049.25000000,1616975999999,102009501.23687000,490623,189023368.15000000,51732565.82510700,0
1616976000000,0.29490000,0.41430000,0.28700000,0.38010000,329680858.99000000,1617580799999,115885906.80188300,497669,163801570.94000000,57633185.64739800,0
1617580800000,0.38040000,0.55550000,0.36410000,0.48900000,364366719.68000000,1618185599999,165397795.37345900,623568,181441282.02000000,82432861.10725500,0
1618185600000,0.48770000,0.49890000,0.31670000,0.35210000,171778184.36000000,1618790399999,72806537.96604100,304125,83708402.06000000,35507137.46031300,0
1618790400000,0.35280000,0.39690000,0.21300000,0.23910000,247602762.53000000,1619395199999,72473013.23045400,263566,120781202.20000000,35469249.60640400,0
1619395200000,0.23920000,0.38730000,0.23500000,0.35000000,182015802.22000000,1619999999999,59951606.18800000,257583,92195794.02000000,30375666.17681200,0
1620000000000,0.34950000,0.69520000,0.30240000,0.50360000,1011166450.26000000,1620604799999,546823424.24241300,1274838,511515381.59000000,277224941.50434300,0
1620604800000,0.50250000,0.56560000,0.35210000,0.38750000,295790520.05000000,1621209599999,130673236.70991000,469030,143830676.65000000,63627631.17857100,0
1621209600000,0.38790000,0.38960000,0.12460000,0.16410000,290808065.08000000,1621814399999,71465235.99521300,262145,141712796.67000000,34876020.43229400,0
1621814400000,0.16490000,0.24330000,0.16190000,0.18730000,215717946.85000000,1622419199999,44033365.76042600,197751,107140091.55000000,21920254.84474400,0
1622419200000,0.18730000,0.22410000,0.17610000,0.20290000,143207670.02000000,1623023999999,29171363.67165800,143501,69881703.09000000,14219843.09584800,0
1623024000000,0.20250000,0.20590000,0.15720000,0.18080000,112877986.10000000,1623628799999,20552965.63082500,99670,56273123.42000000,10261335.15218200,0
1623628800000,0.18120000,0.18990000,0.14210000,0.15240000,66714986.91000000,1624233599999,11406605.04716300,61135,33323408.74000000,5706528.09958600,0
1624233600000,0.15270000,0.16560000,0.09410000,0.12330000,183067253.84000000,1624838399999,23445723.12652400,113309,91476794.09000000,11718321.89745900,0
1624838400000,0.12310000,0.14790000,0.11750000,0.13320000,126501449.28000000,1625443199999,16788302.81794700,96248,63605201.57000000,8445197.38392600,0
1625443200000,0.13320000,0.14470000,0.12070000,0.12850000,91960573.12000000,1626047999999,12061099.56972800,66186,46230373.69000000,6064387.94883100,0
1626048000000,0.12850000,0.13260000,0.11360000,0.11530000,68752549.85000000,1626652799999,8435207.59542400,55347,33769193.04000000,4141259.56746100,0
1626652800000,0.11530000,0.12000000,0.09320000,0.11590000,82772803.71000000,1627257599999,8942859.30955300,57062,40624645.02000000,4393663.27404300,0
1627257600000,0.11590000,0.14160000,0.11250000,0.12280000,174676153.37000000,1627862399999,22160192.98873800,147915,86965367.87000000,11029805.96732800,0
1627862400000,0.12260000,0.17000000,0.11700000,0.14740000,179134982.79000000,1628467199999,25627452.54398100,183058,91613507.66000000,13131521.56527700,0
1628467200000,0.14750000,0.21640000,0.14000000,0.19250000,327999552.52000000,1629071999999,56393632.43311200,340589,166627612.75000000,28687813.61106100,0
1629072000000,0.19250000,0.22000000,0.16500000,0.20730000,221164095.83000000,1629676799999,42684212.04624400,282428,112656103.46000000,21783046.70223600,0
1629676800000,0.20700000,0.21650000,0.17680000,0.18770000,164474856.47000000,1630281599999,32530886.30920900,206538,83920470.60000000,16609759.98866300,0
1630281600000,0.18800000,0.23800000,0.17580000,0.22370000,223675276.62000000,1630886399999,45165462.00584100,312825,112133766.77000000,22626950.28074500,0
1630886400000,0.22390000,0.24440000,0.15050000,0.17930000,216895616.20000000,1631491199999,43869955.14958500,321931,109715150.75000000,22235815.20494300,0
1631491200000,0.17960000,0.20600000,0.15150000,0.18100000,202540771.00000000,1632095999999,37454824.43280000,281634,103579872.00000000,19179961.97040000,0
1632096000000,0.18100000,0.18170000,0.13200000,0.15210000,162003463.44000000,1632700799999,24588725.58739500,159407,81415112.22000000,12363022.34161500,0
1632700800000,0.15180000,0.17250000,0.13430000,0.16400000,214982520.00000000,1633305599999,32714051.05150000,225378,107694446.00000000,16398743.90570000,0
1633305600000,0.16400000,0.18900000,0.14760000,0.16820000,185883475.00000000,1633910399999,31499183.04000000,266435,91735591.00000000,15567218.98290000,0
1633910400000,0.16820000,0.19530000,0.15420000,0.17970000,143264970.00000000,1634515199999,25285125.36370000,241124,73206448.00000000,12920686.67210000,0
1634515200000,0.17970000,0.18990000,0.17060000,0.18490000,122001086.00000000,1635119999999,22009614.62430000,180579,61133924.00000000,11036617.89480000,0
1635120000000,0.18490000,0.21600000,0.15860000,0.18840000,159409694.00000000,1635724799999,28932226.00230000,312136,81586702.00000000,14839548.44800000,0
1635724800000,0.18830000,0.20000000,0.17550000,0.18210000,141735195.00000000,1636329599999,26237790.57980000,220237,70209022.00000000,13007305.43260000,0
1636329600000,0.18230000,0.19400000,0.16580000,0.18330000,120655668.00000000,1636934399999,21677568.87520000,165307,62078110.00000000,11158703.67850000,0
1636934400000,0.18340000,0.19090000,0.14820000,0.17840000,211805035.00000000,1637539199999,36803318.93340000,288353,111081633.00000000,19451006.70680000,0
1637539200000,0.17780000,0.36800000,0.16000000,0.21350000,1981420814.59000000,1638143999999,548195570.92596900,2858906,996381737.82000000,276982786.63671900,0
1638144000000,0.21350000,0.25740000,0.14200000,0.16010000,692892269.00000000,1638748799999,145776011.12270000,866257,348381019.00000000,73312514.50240000,0
1638748800000,0.15970000,0.16790000,0.15390000,0.15800000,8344147.00000000,1639353599999,1320559.78590000,8678,4166153.00000000,660885.62230000,0
